% Model:              Untitled.mph
% Version:            COMSOL 6.1.0.282
% Date:               May 22 2025, 17:35
% Dimension:          1
% Nodes:              101
% Expressions:        3
% Description:        Table graph
% lambda0 (nm),real(px) (C*m),real(py) (C*m),real(pz) (C*m)
600,8.957059333602636E-32,4.7428289575576833E-32,5.803639112576344E-33
605,9.635335860962628E-32,5.652796120159365E-32,7.136189237667074E-33
610,1.0321629556625088E-31,6.694788454471472E-32,8.389402509535878E-33
615,1.099263894658684E-31,7.870458966397234E-32,9.583571232300534E-33
619.9999999999999,1.1626652880186136E-31,9.207893409440355E-32,1.0716851889137862E-32
625,1.220149823760668E-31,1.0719533018003314E-31,1.18177045393049E-32
629.9999999999999,1.269625593265299E-31,1.2448416724643956E-31,1.292813362239731E-32
635,1.3066572298397636E-31,1.4411467478650191E-31,1.4053926964816543E-32
639.9999999999999,1.3246025546531358E-31,1.6649996396835335E-31,1.5208156749485015E-32
645,1.3145176050345659E-31,1.9167259360853473E-31,1.63927030245032E-32
650,1.2633774567004447E-31,2.197391248011321E-31,1.7617453123301268E-32
655,1.1554684038477241E-31,2.499705933360313E-31,1.888143925578522E-32
660,9.704077852503564E-32,2.810574251137464E-31,2.0187590904934796E-32
665,6.9161701564924E-32,3.0925397508977504E-31,2.1493477519077914E-32
670,3.15543038236625E-32,3.3115426561727836E-31,2.2842154591278132E-32
674.9999999999999,-1.4167933997331938E-32,3.4176385461453617E-31,2.4233206369352016E-32
680,-6.339930555670161E-32,3.3687390313026263E-31,2.5664577625457735E-32
684.9999999999999,-1.0887946012671184E-31,3.157195487591514E-31,2.712903215678783E-32
690,-1.4444399915552648E-31,2.816674453811663E-31,2.862813762651062E-32
694.9999999999999,-1.662777814466817E-31,2.4180792974024677E-31,3.0150212778424846E-32
700,-1.7510492866300704E-31,2.0182646657269445E-31,3.169884048112132E-32
704.9999999999999,-1.7326356084898242E-31,1.658750563953573E-31,3.32679746294554E-32
710,-1.6410158411890546E-31,1.3669687934814698E-31,3.4825143988271484E-32
