% Model:              Untitled.mph
% Version:            COMSOL 6.1.0.282
% Date:               May 22 2025, 17:29
% Dimension:          1
% Nodes:              101
% Expressions:        3
% Description:        Table graph
% lambda0 (nm),real(px) (C*m),real(my)/c_const (C*m),real(pz) (C*m)
980,-1.1919047203942336E-31,-1.8617856299093044E-32,6.229722798592913E-32
985,-1.1833891295783129E-31,-1.7797774203189062E-32,6.187490714572584E-32
989.9999999999999,-1.1748307675984536E-31,-1.702445296957485E-32,6.143830459826496E-32
994.9999999999999,-1.166406702055536E-31,-1.63094000044122E-32,6.10026869591267E-32
1000,-1.1579767570624233E-31,-1.563412061559733E-32,6.055463294333379E-32
1005,-1.1493987853029236E-31,-1.498406285229634E-32,6.008074288610506E-32
1010,-1.1408449149805994E-31,-1.4369986515115375E-32,5.959604471629676E-32
1014.9999999999999,-1.13247693476603E-31,-1.3800686316098738E-32,5.911547476269172E-32
1019.9999999999999,-1.124151088473214E-31,-1.3261609344986264E-32,5.862555313167405E-32
1025,-1.1158743866565545E-31,-1.27510204057249E-32,5.812702287189264E-32
1030,-1.1076551074764588E-31,-1.2266907849621247E-32,5.762056896485035E-32
1035,-1.0994976630357086E-31,-1.1807896308650111E-32,5.710692051493607E-32
1039.9999999999998,-1.0914089012159752E-31,-1.1372131246857947E-32,5.658670920211877E-32
1045,-1.083392248786526E-31,-1.0958345657978975E-32,5.606061639442398E-32
1050,-1.075452301763724E-31,-1.0565026302071781E-32,5.552924610882824E-32
1055,-1.0675913627889557E-31,-1.0191071615054617E-32,5.499324292882143E-32
1060,-1.0598126659560832E-31,-9.835181885154592E-33,5.445317337912834E-32
1064.9999999999998,-1.052116852071458E-31,-9.496558028362873E-33,5.390968692241256E-32
1070,-1.0445069445356907E-31,-9.173913487817515E-33,5.336327413881141E-32
1075,-1.0369833551228792E-31,-8.866481865794193E-33,5.281452356901335E-32
1080,-1.029547794990773E-31,-8.573223664519376E-33,5.226390676155191E-32
1084.9999999999998,-1.0223301645599304E-31,-8.298974059057462E-33,5.172486579768756E-32
1090,-1.0151837989870586E-31,-8.036591204852163E-33,5.118345812091385E-32
1095,-1.0079759836700933E-31,-7.780175626291367E-33,5.062691787125641E-32
1100,-1.0008584751580207E-31,-7.535070156169594E-33,5.007049389744836E-32
