% Model:              2D-Au-Plate-from-wl.mph
% Version:            COMSOL 6.1.0.282
% Date:               Apr 21 2025, 22:59
% Dimension:          1
% Nodes:              101
% Expressions:        5
% Description:        Table graph
% R0 (nm),C_ED (m^2),C_MD (m^2),C_EQ (m^2),C_MQ (m^2),C_full (m^2)
130.99999999999997,1.0922530957226257E-12,6.097006437134894E-14,6.849576361461734E-15,1.1471594128056952E-15,1.1612198958682422E-12
132,9.941067505219282E-13,5.473690963164674E-14,7.138117073476918E-15,1.1099915595033695E-15,1.0570917687865552E-12
133,9.054167527578679E-13,4.985095237040213E-14,7.419665652418168E-15,1.0751519811627277E-15,9.637625227618508E-13
134,8.255551164246495E-13,4.6008460381123894E-14,7.699739964623634E-15,1.043446833857655E-15,8.803067636042547E-13
135,7.537077590903006E-13,4.297240857346202E-14,7.982435500568606E-15,1.0157541819830121E-15,8.056783573463142E-13
135.99999999999997,6.890309973795871E-13,4.055867141943303E-14,8.270772736986856E-15,9.93337305841003E-16,7.38853778841848E-13
136.99999999999997,6.307044665868507E-13,3.862343789601756E-14,8.566774556923192E-15,9.78216701048108E-16,6.788728957408395E-13
138,5.779936203518397E-13,3.705629634036172E-14,8.871873830423717E-15,9.737333300595122E-16,6.248955238526847E-13
139,5.30245063758747E-13,3.576943027036712E-14,9.186736444367949E-15,9.854214079997796E-16,5.761866518814819E-13
140,4.869099854308714E-13,3.4694440709315855E-14,9.51161940982875E-15,1.0224328227856045E-15,5.321384783728016E-13
141,4.4752944331981776E-13,3.377575064466644E-14,9.846099074679434E-15,1.1000659583205925E-15,4.922513589974842E-13
141.99999999999997,4.1173507429077144E-13,3.296744869574227E-14,1.0188943007813637E-14,1.244282232393541E-15,4.561357482267209E-13
142.99999999999997,3.7925342635405845E-13,3.2230264329270436E-14,1.053789946960908E-14,1.5002157371666575E-15,4.235218058901046E-13
144,3.4991532310653967E-13,3.1528204011617E-14,1.0889154216310061E-14,1.9489132771692304E-15,3.9428159461163596E-13
145,3.236702829916175E-13,3.082682201896049E-14,1.1236339957944844E-14,2.742151261661742E-15,3.684755962301846E-13
146,3.006319432478668E-13,3.008909950179257E-14,1.1568977777819474E-14,4.179903924012175E-15,3.46469924451491E-13
147,2.811553010292586E-13,2.9273182856512795E-14,1.1870866172256495E-14,6.896519555226589E-15,3.291958696132545E-13
147.99999999999997,2.6596996399392606E-13,2.8335403596492267E-14,1.2122570884127416E-14,1.23521292389621E-14,3.1878006771350783E-13
148.99999999999997,2.562571629822305E-13,2.72712597116389E-14,1.233925700731206E-14,2.427565916555566E-14,3.2014333886673713E-13
150,2.5237846489978096E-13,2.640163887168788E-14,1.2852224295221709E-14,5.3263679547802164E-14,3.4489600761449267E-13
151,2.4036140399037077E-13,2.806056487282356E-14,1.594050232765986E-14,1.269377856142369E-13,4.113002568050911E-13
152,1.5534429713265588E-13,3.802000999632434E-14,2.6675320547929197E-14,2.2392595860301294E-13,4.439655862799224E-13
153,6.430743543286244E-14,4.4578766854342083E-14,3.352034795426035E-14,1.8124717760477804E-13,3.2365372784624293E-13
153.99999999999997,4.284107585993188E-14,4.3699689350344795E-14,3.452218381428882E-14,1.2177250354978224E-13,2.4283545257434773E-13
154.99999999999997,3.75456754733384E-14,3.561701635447239E-14,3.634235610976468E-14,9.55406849078347E-14,2.0504573284541017E-13
156,3.29441853919536E-14,2.825835765517376E-14,4.0064751497959445E-14,6.611317028469911E-14,1.673804648297859E-13
157,2.7398484964278545E-14,2.7152646664911565E-14,4.5866884053820664E-14,4.8927928657149666E-14,1.4934594434016045E-13
158,2.1192222476526052E-14,2.660981678333341E-14,5.381654308490313E-14,3.987843509416347E-14,1.4149701743892607E-13
159,1.4800465427301377E-14,2.5946141756261253E-14,6.353745678847414E-14,3.4427251747534395E-14,1.3871131571957117E-13
159.99999999999997,8.804663912544943E-15,2.516683785815784E-14,7.37364302685677E-14,3.0850462760070733E-14,1.385583947993412E-13
