% Model:              3D-Au-Plate.mph
% Version:            COMSOL 6.1.0.282
% Date:               Jan 15 2025, 16:20
% Dimension:          1
% Nodes:              40
% Expressions:        6
% Description:        Table graph
% Rs (um),F_x (N),F_y (N),F_z (N),-F_x_m (N),-F_y_m (N),-F_z_m (N)
0.35,4.346154211870624E-25,5.782226085910085E-26,-1.6395888930370015E-25,4.347042307236442E-25,5.789846305984314E-26,-1.6388804811496078E-25
0.3923076923076923,4.348611163622435E-25,5.772198799150855E-26,-1.7104082438982434E-25,4.352028186881339E-25,5.808127826104458E-26,-1.7082268831905592E-25
0.43461538461538457,4.376623239857904E-25,5.827973582285916E-26,-1.7524815628822776E-25,4.37875312114687E-25,5.844886307680944E-26,-1.7517348793805209E-25
0.4769230769230769,4.398903171515676E-25,5.868223809100642E-26,-1.746829753989312E-25,4.400391500843873E-25,5.875712093716117E-26,-1.7435208334461317E-25
0.519230769230769,4.40024955806231E-25,5.866867390845844E-26,-1.7025684428996937E-25,4.403445556239739E-25,5.88162824847944E-26,-1.701860971562433E-25
0.5615384615384615,4.39078032055256E-25,5.877756085335334E-26,-1.6665244280249777E-25,4.392082105948662E-25,5.880967604955592E-26,-1.665036660155133E-25
0.6038461538461538,4.376283026826608E-25,5.868134550271961E-26,-1.6619112120776453E-25,4.380378348164077E-25,5.890650753674091E-26,-1.6602218229993162E-25
0.6461538461538461,4.3786496699872995E-25,5.883172238953293E-26,-1.6875709424222997E-25,4.381041958333928E-25,5.902797086919228E-26,-1.685176289070411E-25
0.6884615384615383,4.390061288550911E-25,5.884839387430508E-26,-1.726915926636434E-25,4.392566448389439E-25,5.922753198378817E-26,-1.7269598488593445E-25
0.7307692307692307,4.40297525784593E-25,5.927823924953601E-26,-1.7549685736679807E-25,4.405855075971925E-25,5.946599935587893E-26,-1.7545228734843042E-25
0.773076923076923,4.404154242418058E-25,5.907167485687083E-26,-1.7442470947046463E-25,4.407957712374729E-25,5.929590211815952E-26,-1.7433669018347454E-25
0.8153846153846154,4.393009117202218E-25,5.892978495260143E-26,-1.7078154947285721E-25,4.396610572091052E-25,5.906428864938806E-26,-1.706469998147426E-25
0.8576923076923075,4.376891435805773E-25,5.864217489054202E-26,-1.6782783599874445E-25,4.37882533885502E-25,5.879068098344678E-26,-1.6769271878454841E-25
0.8999999999999998,4.364984165833546E-25,5.859788502967229E-26,-1.67463937264141E-25,4.3696094553148275E-25,5.874749426667927E-26,-1.6728547069773895E-25
0.9423076923076922,4.371759428009315E-25,5.86521072619126E-26,-1.7017378818347675E-25,4.37483234398476E-25,5.88693507056313E-26,-1.701471015410328E-25
0.9846153846153844,4.392709504068145E-25,5.882837817011341E-26,-1.736128599590624E-25,4.395143307100245E-25,5.895166041090995E-26,-1.7342550266448156E-25
1.0269230769230768,4.409654252527526E-25,5.89339750465082E-26,-1.752483584432771E-25,4.412915201580039E-25,5.905767200740044E-26,-1.7503421742203523E-25
1.069230769230769,4.414886237301316E-25,5.896168557817742E-26,-1.731931283730378E-25,4.418208841282714E-25,5.895460213929973E-26,-1.7316195517158525E-25
1.1115384615384616,4.398531691489252E-25,5.859161480604402E-26,-1.6970741487078413E-25,4.40294950519977E-25,5.881053787681667E-26,-1.695992561143513E-25
1.1538461538461535,4.378287331049102E-25,5.836337633120734E-26,-1.666940041803292E-25,4.382775423033309E-25,5.868297392140998E-26,-1.6648057157977704E-25
1.196153846153846,4.367056929356949E-25,5.860576972204205E-26,-1.667964725231323E-25,4.368375682759228E-25,5.875699719933107E-26,-1.666684739623219E-25
1.2384615384615385,4.370842845418023E-25,5.876899637923895E-26,-1.6972631133559489E-25,4.373548204030005E-25,5.888146155215609E-26,-1.6954638500355228E-25
1.2807692307692307,4.387558852860805E-25,5.868286065194859E-26,-1.7311921343144094E-25,4.391146861190057E-25,5.908314331301113E-26,-1.7308949449541906E-25
1.3230769230769228,4.409527343275295E-25,5.864836766998873E-26,-1.744319019893546E-25,4.41288336997154E-25,5.893748386643638E-26,-1.7406324209518888E-25
1.3653846153846152,4.416525678336745E-25,5.870467597521604E-26,-1.7210981215612387E-25,4.4201771048064255E-25,5.889956642879928E-26,-1.7188469423752077E-25
1.4076923076923076,4.4045131217638055E-25,5.860573265903026E-26,-1.6824915603919437E-25,4.407416297748078E-25,5.873699188412945E-26,-1.679339136782726E-25
1.4499999999999997,4.38304360381832E-25,5.852461739289695E-26,-1.654690170140058E-25,4.38572701427648E-25,5.867590567983934E-26,-1.653676754802375E-25
1.4923076923076921,4.366666960828379E-25,5.860503324023568E-26,-1.6667010148716514E-25,4.368911788041201E-25,5.88402282106387E-26,-1.6647974593336546E-25
1.5346153846153845,4.367889079951415E-25,5.902383156757004E-26,-1.7027372210067157E-25,4.369464366742604E-25,5.922559606548631E-26,-1.7006839361972332E-25
1.5769230769230766,4.385272168211039E-25,5.927565394483382E-26,-1.7413772054611474E-25,4.388690726197002E-25,5.938811890382556E-26,-1.7411849675152572E-25
1.6192307692307693,4.406172640439839E-25,5.917560178335353E-26,-1.7571133273976392E-25,4.410215763792885E-25,5.945024915674028E-26,-1.754880159566384E-25
1.6615384615384614,4.415495558731267E-25,5.896516671397051E-26,-1.731278299293808E-25,4.417710619402501E-25,5.920560260037625E-26,-1.7302245472029956E-25
1.7038461538461533,4.407878771439615E-25,5.866858351013523E-26,-1.6914497814113063E-25,4.410391031547162E-25,5.879135178491238E-26,-1.6903035697479864E-25
1.7461538461538462,4.385137861764887E-25,5.860709805679456E-26,-1.6652940517856156E-25,4.388757422483821E-25,5.872221184595433E-26,-1.6630860656159617E-25
1.7884615384615383,4.3682527772066835E-25,5.859601085980193E-26,-1.6736009488826216E-25,4.370279749119032E-25,5.870055658458339E-26,-1.671680723890986E-25
1.8307692307692303,4.366540325742571E-25,5.86745000421245E-26,-1.708047484325865E-25,4.369751217224005E-25,5.887629920687461E-26,-1.70653382643689E-25
1.873076923076923,4.381925668442363E-25,5.90122233715213E-26,-1.7442553587356265E-25,4.384640382201428E-25,5.921881269671845E-26,-1.743386413260179E-25
1.9153846153846152,4.403608703297422E-25,5.902683906634684E-26,-1.7564646306296895E-25,4.406449367050589E-25,5.920844416121505E-26,-1.7554966923790456E-25
