% Model:              2D-Ag-Plate.mph
% Version:            COMSOL 6.1.0.282
% Date:               May 14 2025, 01:40
% Dimension:          1
% Nodes:              51
% Expressions:        1
% Description:        Table graph
% ,
300,-1.0442818185744156E-29
302,-7.664202888570262E-30
304,-3.90175747886522E-30
306,3.409652722998134E-31
307.99999999999994,4.928653012929413E-30
309.99999999999994,9.666907508585207E-30
312,1.365697925914742E-29
314,1.7588836818174158E-29
316,2.181426993932614E-29
318,2.615620150663771E-29
319.99999999999994,3.0378488783520447E-29
321.99999999999994,3.6562941747599554E-29
324,4.298347044058117E-29
326,4.552987334911278E-29
328,3.966730725605782E-29
330,1.8383993551540265E-29
331.99999999999994,-2.8009568194864873E-29
333.99999999999994,-1.0155620625277315E-28
336,-2.1849233147786208E-28
338,-3.757429492806064E-28
340,-5.096501029201288E-28
342,-5.483409384400259E-28
343.99999999999994,-5.161461959350831E-28
345.99999999999994,-4.494524293076365E-28
348,-3.6018619010331813E-28
350,-2.764555292367382E-28
352,-2.1421265832503625E-28
354,-1.6858618691722302E-28
355.99999999999994,-1.4169036831394175E-28
357.99999999999994,-1.2058010371302918E-28
360,-1.0340286405374423E-28
362,-8.929659185825836E-29
364,-7.740631630120985E-29
366,-6.703085959797496E-29
367.99999999999994,-5.778214179245496E-29
369.99999999999994,-5.071416462117602E-29
372,-4.4172289886375237E-29
374,-3.8193475124233757E-29
376,-3.28183641428605E-29
378,-2.806264051751716E-29
379.99999999999994,-2.390979719569329E-29
381.99999999999994,-2.0650957714766558E-29
384,-1.8759482078812786E-29
386,-1.7111382552421802E-29
388,-1.567319806050137E-29
390,-1.441358594317866E-29
391.99999999999994,-1.330436579583658E-29
393.99999999999994,-1.2320877831424796E-29
395.99999999999994,-1.144194226283464E-29
398,-1.0650903074881668E-29
400,-9.93402763965495E-30
