% Model:              3D-Au-Plate.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 28 2025, 15:10
% Dimension:          1
% Nodes:              171
% Expressions:        2
% Description:        Table graph
% R (nm),0.5*real(conj(px)*d(ewfd.Ebx,x))+0.5*real(conj(py)*d(ewfd.Eby,x))+0.5*real(conj(pz)*d(ewfd.Ebz,x)) (N), Point: (0, 0, 0),0.5*real(conj(mx)*d(ewfd.Hbx,x)+conj(my)*d(ewfd.Hby,x)+conj(mz)*d(ewfd.Hbz,x))*mu0_const (N), Point: (0, 0, 0)
100,1.9237322034595388E-25,8.533219429909484E-26
100.5,2.023185245142055E-25,9.13569866787013E-26
100.99999999999999,2.127323810459838E-25,9.784915710650878E-26
101.49999999999999,2.2360229515724716E-25,1.0477618331254256E-25
101.99999999999999,2.35063130335044E-25,1.1220069801601274E-25
102.5,2.4704655309915655E-25,1.2003924725150556E-25
103,2.59611803012425E-25,1.2846763105928582E-25
103.5,2.7273449130101467E-25,1.374154873584686E-25
103.99999999999999,2.8644829958107665E-25,1.4694436473265205E-25
104.49999999999999,3.006749730665517E-25,1.570433152554853E-25
104.99999999999999,3.15533112818984E-25,1.678692015521716E-25
105.5,3.3086666744870173E-25,1.7926200060263287E-25
106,3.468980648088943E-25,1.9139238221896816E-25
106.5,3.6317365488805435E-25,2.0406731506299708E-25
106.99999999999999,3.7993536721031956E-25,2.173840506988514E-25
107.49999999999999,3.972638793597482E-25,2.315636205443524E-25
107.99999999999999,4.147465992075316E-25,2.4628516362996346E-25
108.5,4.325675403194898E-25,2.6166105362873964E-25
109,4.505348039758576E-25,2.778145978426215E-25
109.5,4.684567125824621E-25,2.9438041904957915E-25
109.99999999999999,4.863040462978511E-25,3.1148078323991204E-25
110.49999999999999,5.041272883370936E-25,3.2947310385875365E-25
110.99999999999999,5.212096314486309E-25,3.475227268993061E-25
111.5,5.377698535162261E-25,3.658980878970058E-25
112,5.536713386740607E-25,3.8473771611801416E-25
112.5,5.684591120899816E-25,4.036122252897778E-25
112.99999999999999,5.823845295941387E-25,4.2256688908514985E-25
113.49999999999999,5.946691488215674E-25,4.414729596322249E-25
113.99999999999999,6.054196232688412E-25,4.602085758290866E-25
114.5,6.144949243122497E-25,4.78788340478541E-25
115,6.219429043920632E-25,4.974867883540701E-25
115.5,6.2701687116599765E-25,5.155190755792172E-25
115.99999999999999,6.300282620598284E-25,5.335586081580968E-25
116.49999999999999,6.311155193173525E-25,5.521090801273561E-25
116.99999999999999,6.297728164837567E-25,5.7111801156719465E-25
117.5,6.262635700617281E-25,5.91273090280847E-25
118,6.2050279189913245E-25,6.134718965618436E-25
118.5,6.128751451383997E-25,6.3953056031464815E-25
118.99999999999999,6.031513817032263E-25,6.716351903324566E-25
119.49999999999999,5.91841561123668E-25,7.115906254978766E-25
120,5.787192883133166E-25,7.623617512789085E-25
120.49999999999999,5.646373383281858E-25,8.235185172248085E-25
121,5.494321678994581E-25,8.872795474000723E-25
121.49999999999999,5.330077472237741E-25,9.336810392504637E-25
121.99999999999999,5.166827008106257E-25,9.411082111765764E-25
122.5,4.999777591462021E-25,9.052310959758255E-25
122.99999999999999,4.834120119258174E-25,8.425907161300512E-25
123.5,4.675110486463624E-25,7.728211319801455E-25
123.99999999999999,4.521369174360729E-25,7.073852470856391E-25
124.5,4.388558935331172E-25,6.4946208114770755E-25
125,4.263612836235814E-25,5.984012341591508E-25
125.49999999999999,4.162870535833165E-25,5.533372667205223E-25
126,4.0830016204302004E-25,5.120026818548261E-25
126.49999999999999,4.035440705889711E-25,4.735266608296587E-25
127,4.0202377465072703E-25,4.367642098984279E-25
127.49999999999999,4.0383038121062186E-25,4.0092461393616796E-25
127.99999999999999,4.1101028998486584E-25,3.648312514164163E-25
128.5,4.231328145615045E-25,3.2937384140152797E-25
129,4.3982327109712565E-25,2.9310326082886534E-25
129.5,4.638568548978782E-25,2.561555412038765E-25
129.99999999999997,4.943291093572629E-25,2.18177988671076E-25
130.5,5.325046853647327E-25,1.7906797138398063E-25
130.99999999999997,5.79164449227457E-25,1.3845358788136572E-25
131.5,6.353220006358023E-25,9.720821657436089E-26
132,7.011894618763447E-25,5.414040570069216E-26
132.5,7.786562199783233E-25,9.508404289389578E-27
133,8.669346898067532E-25,-3.586727431416887E-26
133.49999999999997,9.671760317141752E-25,-8.253207268900478E-26
134,1.079219525187632E-24,-1.290891742670414E-25
134.5,1.2027678533781016E-24,-1.7614683250379147E-25
135,1.3380755397691063E-24,-2.233096270010947E-25
135.5,1.4831222457955443E-24,-2.690500579684377E-25
135.99999999999997,1.6366790623546943E-24,-3.1291001394597426E-25
136.5,1.7955922221556892E-24,-3.5384383990606363E-25
136.99999999999997,1.957450155325351E-24,-3.910934407524379E-25
137.5,2.1189614041383383E-24,-4.2393119385161905E-25
138,2.2766110155425725E-24,-4.51497347642212E-25
138.5,2.425025257358921E-24,-4.723131704122012E-25
139,2.562594484435386E-24,-4.871188604305275E-25
139.49999999999997,2.68423627181632E-24,-4.949578223446501E-25
140,2.7890587108072225E-24,-4.965189400378824E-25
140.5,2.8728042965845654E-24,-4.91095170548567E-25
141,2.9377112492149155E-24,-4.8058368239971625E-25
141.5,2.9813442974720353E-24,-4.64805999173597E-25
141.99999999999997,3.0051962514385213E-24,-4.4463473375260005E-25
142.5,3.0119806360716494E-24,-4.218418801996516E-25
142.99999999999997,3.0021813881266564E-24,-3.964842163013088E-25
143.5,2.978041689847383E-24,-3.6949586506207653E-25
144,2.9411911822346296E-24,-3.415597979911962E-25
