% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 30 2025, 17:00
% Dimension:          1
% Nodes:              176
% Expressions:        6
% Description:        Table graph
% R0 (nm),real(mx) (m^2*A),imag(mx) (m^2*A),real(my) (m^2*A),imag(my) (m^2*A),real(mz) (m^2*A),imag(mz) (m^2*A)
63,9.446179227491277E-25,-1.8871251266123035E-25,2.3273541048569134E-25,1.0041044967100159E-24,4.344821186554019E-26,2.583319537659988E-25
63.99999999999999,1.0305309534379904E-24,-2.092958140757663E-25,2.571706689906108E-25,1.094695994048799E-24,4.791948514996602E-26,2.8486552012934144E-25
64.99999999999999,1.1232084654825184E-24,-2.320995629192924E-25,2.8411118206673103E-25,1.1923295896708175E-24,5.27984964378182E-26,3.1378762311367104E-25
66,1.2231316237076319E-24,-2.5737656141939686E-25,3.1382627577051526E-25,1.2974959880363411E-24,5.812011143716274E-26,3.452927711198073E-25
67,1.3308138943376577E-24,-2.854112213284351E-25,3.46622709124035E-25,1.4107218134376052E-24,6.392198495322974E-26,3.795913866978351E-25
67.99999999999999,1.4468068106782004E-24,-3.165265488433747E-25,3.8284040756021412E-25,1.5325661805089225E-24,7.024484160069976E-26,4.1691061881431675E-25
69,1.5716983500880879E-24,-3.5108186491743784E-25,4.2286231925185355E-25,1.6636272186289807E-24,7.713400738621124E-26,4.574965255863601E-25
70,1.7061197275582772E-24,-3.8948761881888967E-25,4.671195006570767E-25,1.804544520101149E-24,8.463799939481374E-26,5.016153456060375E-25
70.99999999999999,1.8507444076236393E-24,-4.322033860164239E-25,5.160998925267606E-25,1.9560043174709717E-24,9.281049566597974E-26,5.495558372594882E-25
72,2.0062944115241092E-24,-4.797497223112667E-25,5.703460958294524E-25,2.1187324916652366E-24,1.0171067540822341E-25,6.016310933722639E-25
73,2.173541043317434E-24,-5.327170852360075E-25,6.3047619528535385E-25,2.2935098111376743E-24,1.1140275655803597E-25,6.581813583889142E-25
73.99999999999999,2.3533090571025507E-24,-5.917729841682238E-25,6.9718494432106E-25,2.4811683259603027E-24,1.2195798752096402E-25,7.195764331982366E-25
75,2.546479037610795E-24,-6.576738831785311E-25,7.712655698911132E-25,2.682593296583786E-24,1.3345483219696293E-25,7.86219389808628E-25
76,2.7539919578564075E-24,-7.312812872672281E-25,8.53601888822931E-25,2.898732101381524E-24,1.459797144743669E-25,8.585488206168899E-25
76.99999999999999,2.9768498434862526E-24,-8.135705976114465E-25,9.452133593635399E-25,3.1305875377643758E-24,1.5962877481567282E-25,9.370445578080523E-25
78,3.21612000232916E-24,-9.056492605255787E-25,1.04723712432665E-24,3.379227638774744E-24,1.745095222037641E-25,1.0222305483018108E-24
79,3.472937585982632E-24,-1.008794284338011E-24,1.1609794233875998E-24,3.645787622412902E-24,1.9073808252280834E-25,1.114680357872736E-24
79.99999999999999,3.748500263282855E-24,-1.1244355761586059E-24,1.2879239002295022E-24,3.931465299339768E-24,2.08449467955067E-25,1.2150244858637886E-24
81,4.0440792753127E-24,-1.2542211584558967E-24,1.4297579116470337E-24,4.2375187898752406E-24,2.277914203455269E-25,1.3239549410859285E-24
82,4.361011092747998E-24,-1.400035235428184E-24,1.5883977168660784E-24,4.5652781632593194E-24,2.489297006323382E-25,1.4422335063248631E-24
82.99999999999999,4.7006923627544414E-24,-1.5640217695797227E-24,1.766037030392402E-24,4.916126134991734E-24,2.7205240339498257E-25,1.5707016323934672E-24
84,5.064579151506107E-24,-1.7486426186559672E-24,1.965178728111073E-24,5.291500477522526E-24,2.973713179947756E-25,1.7102892122407417E-24
85,5.454168030611749E-24,-1.9567110610728522E-24,2.1886897038080265E-24,5.692873541168304E-24,3.251262520104209E-25,1.8620277015026256E-24
85.99999999999999,5.870988745274176E-24,-2.1914540269880495E-24,2.4398458125984356E-24,6.1217431769923695E-24,3.555907312895361E-25,2.0270628236486963E-24
87,6.316582724533684E-24,-2.45657175309467E-24,2.722386734268251E-24,6.5796155566280526E-24,3.8907757601646645E-25,2.206670945509898E-24
88,6.792466420283415E-24,-2.7563148129814834E-24,3.0405974086171854E-24,7.067957148232283E-24,4.259428983404079E-25,2.4022772847622203E-24
88.99999999999999,7.300066906887833E-24,-3.095552345853998E-24,3.399409478342326E-24,7.5881569141717E-24,4.665984708185624E-25,2.6154815359521266E-24
90,7.840726815138728E-24,-3.4798752350207094E-24,3.804453464498041E-24,8.141472125594909E-24,5.115237286385071E-25,2.8480780951747753E-24
91,8.415539632260435E-24,-3.915694897012766E-24,4.262164283888811E-24,8.728945783451446E-24,5.612684153782125E-25,3.1020943921700977E-24
91.99999999999999,9.025340146659072E-24,-4.410370642125265E-24,4.779938685901578E-24,9.351295833625277E-24,6.164830730542369E-25,3.37982079358282E-24
93,9.670476546317192E-24,-4.9723303205352904E-24,5.366213596442151E-24,1.0008784835458385E-23,6.779232515219317E-25,3.683862105236083E-24
94,1.035070382092195E-23,-5.611192630458412E-24,6.030613739621364E-24,1.0701035312103948E-23,7.46485935742178E-25,4.0171892162203586E-24
94.99999999999999,1.1064902380741203E-23,-6.3379244291795086E-24,6.784084253948556E-24,1.1426822896046133E-23,8.232339811170518E-25,4.3832043095991295E-24
96,1.1810813881570737E-23,-7.164999491650181E-24,7.63905965984911E-24,1.218373639708432E-23,9.094392568615838E-25,4.785820726629477E-24
97,1.2584673718633157E-23,-8.106461285488194E-24,8.609528449471852E-24,1.296782023103667E-23,1.0066299891401498E-24,5.229567896457855E-24
97.99999999999999,1.338072129078976E-23,-9.178160975205257E-24,9.71118286411257E-24,1.3773161442345308E-23,1.1166609512707824E-24,5.7197025747779225E-24
98.99999999999999,1.4190544906083116E-23,-1.0397608283102788E-23,1.0961412521174164E-23,1.4591157817275138E-23,1.241789595295054E-24,6.262380470201738E-24
100,1.5002525282953456E-23,-1.1784134669735915E-23,1.2379269791090549E-23,1.5409999572772715E-23,1.3848054263288135E-24,6.864830538544326E-24
100.99999999999999,1.5800689944767846E-23,-1.3358489575170934E-23,1.398523765250319E-23,1.6213557913443616E-23,1.5491670353868054E-24,7.535613210061411E-24
101.99999999999999,1.6563983641130062E-23,-1.514261222768933E-23,1.5800844580759038E-23,1.6980623283991566E-23,1.7392174898343335E-24,8.284933271286587E-24
103,1.7264829131462627E-23,-1.715884783665651E-23,1.7847933603241557E-23,1.768355084408546E-23,1.960463551865818E-24,9.1250402176564E-24
103.99999999999999,1.7868121870848806E-23,-1.9428785216750448E-23,2.0147484117827302E-23,1.828715965730795E-23,2.219974290123377E-24,1.0070763831151436E-23
104.99999999999999,1.8329755246870534E-23,-2.1971614076501735E-23,2.2717953588966076E-23,1.8747499627282148E-23,2.526931851980251E-24,1.1140219012409777E-23
106,1.8595728936526558E-23,-2.4801882699683437E-23,2.5572978702994966E-23,1.901084455711051E-23,2.8934476937837218E-24,1.2355729965581633E-23
106.99999999999999,1.8601384433441354E-23,-2.7925915228238505E-23,2.871797556594238E-23,1.9013082451883017E-23,3.335727656143554E-24,1.374510048358294E-23
107.99999999999999,1.827183745251555E-23,-3.1338399209388666E-23,3.214662994342423E-23,1.8680187594898284E-23,3.875862195279763E-24,1.5343346610616452E-23
109,1.7523095931522813E-23,-3.5017540693086035E-23,3.583612246765261E-23,1.7929436917017824E-23,4.544546657088637E-24,1.7195032848102328E-23
109.99999999999999,1.6266027097631362E-23,-3.8920142279432435E-23,3.974241990070849E-23,1.667337764478956E-23,5.385345557365489E-24,1.935761367185921E-23
110.99999999999999,1.4411498304675867E-23,-4.2977668618792506E-23,4.3796488665781215E-23,1.482506668230203E-23,6.461740858320097E-24,2.1906064507378988E-23
112,1.1878343748919318E-23,-4.709349289816078E-23,4.790144277765548E-23,1.230598343669158E-23,7.868738571497917E-24,2.4939229662119124E-23
112.99999999999999,8.603172199662747E-24,-5.114216128574805E-23,5.193257126865076E-23,9.055775977960197E-24,9.753348789344166E-24,2.8588624770200134E-23
113.99999999999999,4.5514443915315856E-24,-5.497444178040817E-23,5.57420584979343E-23,5.04315128059125E-24,1.2351359071907687E-23,3.3029198800713976E-23
115,-2.7470867674316365E-25,-5.842577440183793E-23,5.916780281046482E-23,2.734375332232989E-25,1.6057210973898197E-23,3.848935833823088E-23
115.99999999999999,-5.829141202905006E-24,-6.132943546083676E-23,6.204646837015232E-23,-5.204541899693934E-24,2.156156131305812E-23,4.524543166160339E-23
116.99999999999999,-1.2022563319432678E-23,-6.353032515895735E-23,6.422745508957171E-23,-1.129929500672209E-23,3.013194941176708E-23,5.354339487405076E-23
118,-1.8729701109915686E-23,-6.49009432625408E-23,6.55881333235681E-23,-1.7884452682896538E-23,4.4177028226998085E-23,6.32249172012655E-23
118.99999999999999,-2.579981257954267E-23,-6.534999936944483E-23,6.604281423448198E-23,-2.480917007385786E-23,6.816726072233358E-23,7.222800451409141E-23
120,-3.307290623431719E-23,-6.482751151317281E-23,6.554709897524296E-23,-3.191443130538292E-23,1.0819092487956652E-22,7.147966685749534E-23
121,-4.039406844588104E-23,-6.33216071865E-23,6.409443434502279E-23,-3.9047363417068615E-23,1.5825306842600568E-22,3.687741061906705E-23
121.99999999999999,-4.762707319130858E-23,-6.085108153431654E-23,6.170894748450546E-23,-4.607453691631433E-23,1.704117866888784E-22,-3.8309510304074553E-23
122.99999999999999,-5.465826492931423E-23,-5.744982483971648E-23,5.842945295644846E-23,-5.288574237174503E-23,1.2713083947828676E-22,-9.07951640220834E-23
123.99999999999999,-6.139747253689278E-23,-5.315873676518381E-23,5.430193728273881E-23,-5.939492955047237E-23,8.136064259226192E-23,-1.0059042464817849E-22
125,-6.777593130328919E-23,-4.8008327790085403E-23,4.936179553849492E-23,-6.553793969566814E-23,5.229281659436184E-23,-9.373019934305473E-23
126,-7.373200564030544E-23,-4.2014616441169695E-23,4.3630571700752434E-23,-7.125900939981278E-23,3.528523467330329E-23,-8.409287362170909E-23
127,-7.92059693518443E-23,-3.517105890268118E-23,3.7107331762358044E-23,-7.65052982937253E-23,2.5051780145870847E-23,-7.539229895787351E-23
127.99999999999999,-8.411799262882993E-23,-2.744809870511958E-23,2.976888987340251E-23,-8.120600530921012E-23,1.8580278388661865E-23,-6.821498880063034E-23
129,-8.835796183432998E-23,-1.8796929740736179E-23,2.1572603252037956E-23,-8.526286129047325E-23,1.4284213705711615E-23,-6.240628427628054E-23
129.99999999999997,-9.176208640617477E-23,-9.159537846187717E-24,1.2466214083309166E-23,-8.852779042449542E-23,1.1309407359547956E-23,-5.769526521058199E-23
130.99999999999997,-9.409619839399828E-23,1.5085655297178527E-24,2.4090220425277156E-24,-9.078753375088931E-23,9.175072607906888E-24,-5.384074140975612E-23
132,-9.503963597393758E-23,1.3208664189797507E-23,-8.601449429647293E-24,-9.174808328143667E-23,7.597454355180568E-24,-5.065344759873626E-23
133,-9.418187381378636E-23,2.5844175559179498E-23,-2.047719562648943E-23,-9.103164100934861E-23,6.4018688257288596E-24,-4.799036554247055E-23
134,-9.104001519436806E-23,3.915456573049728E-23,-3.2979923975789987E-23,-8.819160550960003E-23,5.476738388199012E-24,-4.574361701427545E-23
135,-8.513049154911739E-23,5.264105469074123E-23,-4.5650503246553516E-23,-8.277987010728119E-23,4.747948445957033E-24,-4.383181997898429E-23
135.99999999999997,-7.608848250063478E-23,6.551786681447573E-23,-5.776373267479579E-23,-7.445633700606841E-23,4.1650672711884976E-24,-4.2192514598436366E-23
136.99999999999997,-6.385436205502054E-23,7.673558321458293E-23,-6.834919648251464E-23,-6.316097412696771E-23,3.6929055086664314E-24,-4.077751792837508E-23
138,-4.8850400013815996E-23,8.514655061731062E-23,-7.634247572462454E-23,-4.9280181992362046E-23,3.3062026229977506E-24,-3.95491274247296E-23
139,-3.20478299458557E-23,8.978491438845033E-23,-8.084487046872459E-23,-3.3708774807460974E-23,2.986563396370839E-24,-3.8477466497551933E-23
140,-1.4826711835737805E-23,9.01838272461786E-23,-8.14171382991087E-23,-1.772289286790672E-23,2.7202938255115787E-24,-3.753864638795767E-23
141,1.3611450398440083E-24,8.654383956167142E-23,-7.823802383943374E-23,-2.668154680369493E-24,2.4969916940890244E-24,-3.6713317682546734E-23
141.99999999999997,1.5356359894063995E-23,7.965437389434768E-23,-7.20325650292712E-23,1.0377059700015585E-23,2.3087570135033716E-24,-3.598572270242144E-23
142.99999999999997,2.651942885335302E-23,7.061158802659397E-23,-6.381305112273133E-23,2.0814636171661084E-23,2.1493842627342218E-24,-3.534283614708587E-23
144,3.4731851630809056E-23,6.051263335169039E-23,-5.459497579995345E-23,2.852839539477482E-23,2.0140531373228495E-24,-3.477390634987795E-23
145,4.024909171882085E-23,5.024539813155007E-23,-4.52022760142134E-23,3.3749947158809503E-23,1.8988435557420842E-24,-3.4269889442680443E-23
146,4.3520181645803693E-23,4.0416322759957405E-23,-3.619952404322682E-23,3.689162775035648E-23,1.800690674128487E-24,-3.3823187213364156E-23
147,4.503871859876867E-23,3.1372747015551104E-23,-2.7911451975901297E-23,3.8408262810315894E-23,1.717005613683907E-24,-3.342738922641107E-23
147.99999999999997,4.5257575115367E-23,2.326939673177314E-23,-2.0484229534274562E-23,3.8718403455190996E-23,1.6458015339180623E-24,-3.307703305179713E-23
148.99999999999997,4.455289460776661E-23,1.613344238352246E-23,-1.3945618158103946E-23,3.817017290686826E-23,1.5853757094288693E-24,-3.2767437570813065E-23
150,4.321684306388584E-23,9.917945541953304E-24,-8.254119679557471E-24,3.7034237723420855E-23,1.5341680903023819E-24,-3.249455141767337E-23
151,4.146875795931404E-23,4.5415953385372295E-24,-3.336408596264685E-24,3.5514336900747837E-23,1.4910858142839318E-24,-3.225497599820859E-23
152,3.946683577269046E-23,-9.027502541099084E-26,8.938981560947725E-25,3.375752375939383E-23,1.4550373403438992E-24,-3.204569196068683E-23
153,3.732363803928038E-23,-4.072252056873175E-24,4.523157738001889E-24,3.186883203367988E-23,1.4251488320075628E-24,-3.186417276486851E-23
153.99999999999997,3.5117002313493606E-23,-7.492121390193707E-24,7.631450100469488E-24,2.992101572725062E-23,1.400671668470202E-24,-3.170821798664463E-23
154.99999999999997,3.2899511347874E-23,-1.0427853328410517E-23,1.0290024067820301E-23,2.796363677459647E-23,1.3809120120053072E-24,-3.1575973909683786E-23
156,3.070676744452968E-23,-1.2947214539446363E-23,1.256052041520418E-23,2.6030425718282774E-23,1.3652560520955915E-24,-3.14658650023349E-23
157,2.856067827771169E-23,-1.510769288205608E-23,1.449510501127207E-23,2.4142728426977708E-23,1.3531632488345432E-24,-3.137661456788815E-23
158,2.647485989105679E-23,-1.6957917577011033E-23,1.6137544017650806E-23,2.2314194219225804E-23,1.344069108389754E-24,-3.1307197470346893E-23
159,2.4456864897276618E-23,-1.8538299069972825E-23,1.7523781385843672E-23,2.055321439723171E-23,1.337484433476766E-24,-3.1256840875629385E-23
159.99999999999997,2.2509935016791816E-23,-1.9882460768263555E-23,1.868315603389261E-23,1.886439937785516E-23,1.3328881108803604E-24,-3.1225105651266093E-23
160.99999999999997,2.0634646622395594E-23,-2.1017445026051222E-23,1.963867103719118E-23,1.7250473842727675E-23,1.3297421148728962E-24,-3.1211827959967344E-23
162,1.8829691628454625E-23,-2.1965485351456457E-23,2.0407951628106977E-23,1.5713065680826715E-23,1.3274432476242233E-24,-3.121718100923519E-23
163,1.709284988135724E-23,-2.2743410136254797E-23,2.1003210702306033E-23,1.4254217500865037E-23,1.3253076188205518E-24,-3.1241823809938035E-23
164,1.5421429435505696E-23,-2.3363674364437361E-23,2.143095176527171E-23,1.2877168682789804E-23,1.322457479995546E-24,-3.128684526324995E-23
165,1.381281637546469E-23,-2.3834571459651692E-23,2.169285396664663E-23,1.1588130862733253E-23,1.3179232549559484E-24,-3.1354280477481466E-23
165.99999999999997,1.2265364070776061E-23,-2.4157794365070322E-23,2.1781547776124658E-23,1.0399079639189254E-23,1.3101326299909552E-24,-3.1446835959919026E-23
166.99999999999997,1.0779628973376267E-23,-2.432885735925142E-23,2.168131083704284E-23,9.33254650768967E-24,1.2970307880687813E-24,-3.1568720594944943E-23
168,9.360457344638916E-24,-2.4333159868360117E-23,2.136293130512971E-23,8.431001872606083E-24,1.2755254166965603E-24,-3.172620003080552E-23
169,8.025471812966073E-24,-2.413966170290975E-23,2.0779380505260288E-23,7.781118230418133E-24,1.2407328200195468E-24,-3.1928480966158187E-23
170,6.823044862307955E-24,-2.3689620733487345E-23,1.986632759324419E-23,7.567709513111512E-24,1.1845233050978057E-24,-3.218976003015423E-23
171,5.8953752732047674E-24,-2.288263736012005E-23,1.8591477203819223E-23,8.221590800216839E-24,1.0924784298977308E-24,-3.253218705228185E-23
171.99999999999997,5.681707744433056E-24,-2.1634897577101776E-23,1.7333266660803275E-23,1.0771197755359982E-23,9.368601919276576E-25,-3.2992058532910637E-23
172.99999999999997,7.294821941706381E-24,-2.0648461978582714E-23,1.8959744984696731E-23,1.6655193181647388E-23,6.588857986948371E-25,-3.3630911268629366E-23
174,9.733747298378398E-24,-2.3358085299495886E-23,2.936925158166475E-23,1.945022471961655E-23,1.1731400478368092E-25,-3.455591944594256E-23
175,7.513259770617736E-24,-2.7159046000703416E-23,3.6197501523392566E-23,1.1008284794981334E-23,-1.0859372385782134E-24,-3.5934218395996124E-23
176,4.254097848133768E-24,-2.787714598607613E-23,3.5310628682998225E-23,4.1565363471539855E-24,-4.265701460335853E-24,-3.769870590790009E-23
177,1.915511337486578E-24,-2.74431852598366E-23,3.320870443211537E-23,5.431301816740605E-25,-1.2209268430498557E-23,-3.5621706479154263E-23
177.99999999999997,1.9085358701421418E-25,-2.675467689357137E-23,3.137438626254726E-23,-1.605204350869376E-24,-1.137109206868886E-23,-2.3445017702321023E-23
178.99999999999997,-1.1948994706330071E-24,-2.6003646743151432E-23,2.9857828546962987E-23,-3.104762199169416E-24,-3.77373871627069E-24,-2.2218804975798352E-23
180,-2.3760053514853813E-24,-2.5222662339164196E-23,2.855469770867792E-23,-4.277948987652838E-24,-8.32618905118794E-25,-2.3984279276129932E-23
181,-3.416796073848759E-24,-2.4411872379381395E-23,2.7380084838285087E-23,-5.261034296431457E-24,3.2580714861951986E-25,-2.5315628223915298E-23
182,-4.351293191779962E-24,-2.3567143387987008E-23,2.627903665666297E-23,-6.1190180894850966E-24,8.779430820052835E-25,-2.62134706244943E-23
183,-5.196194690065351E-24,-2.268276153149161E-23,2.52137901356328E-23,-6.882443907222794E-24,1.1834339368058883E-24,-2.6839956503400666E-23
183.99999999999997,-5.960684948086911E-24,-2.1755266261191162E-23,2.4160734314818254E-23,-7.56768710002758E-24,1.3719177230246777E-24,-2.729677078675138E-23
184.99999999999997,-6.649887885495677E-24,-2.07822820213418E-23,2.310367001488752E-23,-8.183710875688484E-24,1.4979117856815125E-24,-2.7642454812707157E-23
