% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 30 2025, 17:02
% Dimension:          1
% Nodes:              176
% Expressions:        3
% Description:        Table graph
% R0 (nm),sum(withsol(sol_name, sigma_spp, setval(M,n, R0,R0)), n, M_from,M_to) (m^2),sum(withsol(sol_name, sigma_sc, setval(M,n, R0,R0)), n, M_from,M_to) (m^2),sum(withsol(sol_name, sigma_air, setval(M,n, R0,R0)), n, M_from,M_to) (m^2)
9.999999999999998,7.073331419475824E-21,1.7579003451785556E-20,1.0505672032309728E-20
11,1.2936310161975998E-20,3.0763476758586303E-20,1.7827166596610296E-20
12,2.2432616630761135E-20,5.180209315625675E-20,2.936947652549555E-20
12.999999999999998,3.7090904353001684E-20,8.447600982252932E-20,4.738510546952769E-20
14,5.902662533013499E-20,1.3292484194759112E-19,7.389821661745618E-20
15,9.077832608976015E-20,2.034625636584606E-19,1.1268423756870051E-19
15.999999999999998,1.3574989596354235E-19,3.0303364229885924E-19,1.6728374633531672E-19
16.999999999999996,1.980705807071855E-19,4.413897416196414E-19,2.4331916091245566E-19
18,2.8293010031088387E-19,6.294378994513594E-19,3.465077991404755E-19
19,3.9569756511673745E-19,8.81208940274066E-19,4.855113751573285E-19
19.999999999999996,5.445921049311873E-19,1.2134489154007627E-18,6.688568104695743E-19
21,7.376676004002395E-19,1.6451752782879456E-18,9.07507677887707E-19
22,9.848348988777974E-19,2.200269043344022E-18,1.2154341444662256E-18
22.999999999999996,1.298930863758626E-18,2.9071617275529175E-18,1.6082308637942905E-18
24,1.692738382375706E-18,3.798837287090519E-18,2.1060989047148098E-18
25,2.1828143803096176E-18,4.911629721636564E-18,2.728815341326943E-18
25.999999999999996,2.7883379824393588E-18,6.2920594794909596E-18,3.503721497051602E-18
26.999999999999996,3.528381930337321E-18,7.988071630620403E-18,4.459689700283085E-18
28,4.429737209633521E-18,1.0062798949196694E-17,5.633061739563168E-18
28.999999999999996,5.517237693709469E-18,1.2579438984092304E-17,7.062201290382835E-18
30,6.8241093610294455E-18,1.5620524244143845E-17,8.796414883114399E-18
30.999999999999996,8.386466525491963E-18,1.927315967501061E-17,1.088669314951865E-17
31.999999999999996,1.0238563257656835E-17,2.363428967703327E-17,1.3395726419376425E-17
33,1.243055430494614E-17,2.88218247513996E-17,1.6391270446453456E-17
33.99999999999999,1.5010382887545825E-17,3.497000661753774E-17,1.995962372999188E-17
35,1.8033976454483648E-17,4.222381990251831E-17,2.4189843448034675E-17
36,2.1562531463211744E-17,5.074829235501272E-17,2.9185760891801E-17
36.99999999999999,2.566570068863967E-17,6.073474567244439E-17,3.5069044983804706E-17
38,3.0424624862760127E-17,7.23926290414532E-17,4.196800417869315E-17
39,3.591519574026613E-17,8.596344396804757E-17,5.004824822778145E-17
39.99999999999999,4.2245670315051946E-17,1.0171919112606022E-16,5.947352081100829E-17
41,4.950510308426748E-17,1.1994982634078723E-16,7.044472325651974E-17
42,5.782089498601956E-17,1.4100319056316607E-16,8.318229557714655E-17
42.99999999999999,6.731608324169138E-17,1.6525301569965974E-16,9.793693245796836E-17
44,7.813414523801845E-17,1.9312322420033264E-16,1.1498907896231416E-16
45,9.04341425167235E-17,2.2509068574063587E-16,1.346565432239125E-16
45.99999999999999,1.0436641019970381E-16,2.6167021008332006E-16,1.5730379988361634E-16
47,1.2014459701261415E-16,3.0345828584976754E-16,1.8331368883715344E-16
48,1.3794661984060136E-16,3.5110568707425402E-16,2.1315906723365272E-16
48.99999999999999,1.5800621123260655E-16,4.0533200560127033E-16,2.473257943686637E-16
50,1.8057734174030686E-16,4.669742602264865E-16,2.8639691848617966E-16
50.99999999999999,2.059155576182347E-16,5.369005235292168E-16,3.3098496591098214E-16
51.99999999999999,2.3430662709424843E-16,6.161162208807002E-16,3.818095937864516E-16
53,2.6606441794842514E-16,7.057301656176172E-16,4.3966574766919176E-16
53.99999999999999,3.015742888258691E-16,8.069868771714921E-16,5.054125883456224E-16
54.99999999999999,3.4116107899901874E-16,9.212267862698546E-16,5.800657072708358E-16
56,3.852450911756985E-16,1.0499563892213784E-15,6.647112980456804E-16
56.99999999999999,4.342888750280427E-16,1.1948389298399485E-15,7.605500548119064E-16
57.99999999999999,4.887431342975028E-16,1.3577165849789133E-15,8.689734506814104E-16
59,5.491033894514686E-16,1.5406048692745548E-15,9.915014798230865E-16
60,6.159746722271327E-16,1.7457989025539623E-15,1.1298242303268285E-15
60.99999999999999,6.899276494789659E-16,1.975683023917213E-15,1.2857553744382475E-15
61.99999999999999,7.715988003922303E-16,2.2330579255572683E-15,1.4614591251650376E-15
63,8.616802665569925E-16,2.5209117383243587E-15,1.6592314717673658E-15
63.99999999999999,9.609035544334317E-16,2.842504597767986E-15,1.8816010433345528E-15
64.99999999999999,1.0701318030674079E-15,3.201563459062623E-15,2.131431655995216E-15
66,1.1901036230575628E-15,3.60208732488301E-15,2.411983701825449E-15
67,1.3217109488114167E-15,4.0484300507495624E-15,2.7267191019381433E-15
67.99999999999999,1.466025411071148E-15,4.545513400462853E-15,3.0794879893917056E-15
69,1.6239361485615124E-15,5.0987241847349145E-15,3.474788036173401E-15
70,1.7966865652493832E-15,5.714022732821362E-15,3.917336167571981E-15
70.99999999999999,1.985220454682536E-15,6.397572381853836E-15,4.4123519271713E-15
72,2.190826624675156E-15,7.156878562984543E-15,4.966051938309389E-15
73,2.4148382136111437E-15,7.999751534127411E-15,5.584913320516266E-15
73.99999999999999,2.658452357015686E-15,8.934850234363832E-15,6.276397877348145E-15
