% Model:              3D-Au-Plate.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 28 2025, 15:10
% Dimension:          1
% Nodes:              171
% Expressions:        3
% Description:        Table graph
% R (nm),F_x (N),F_y (N),F_z (N)
138,1.91247914086694E-24,1.8513097246854824E-25,1.963590712292008E-24
138.5,2.0259393557274476E-24,2.173177062585954E-25,1.2602519465037822E-24
139,2.1312096161156892E-24,2.4742820578044805E-25,5.137982135449737E-25
139.49999999999997,2.2246317100624694E-24,2.7498645391629814E-25,-2.610654723263862E-25
140,2.304268419186844E-24,2.9980036954429403E-25,-1.0507009585545566E-24
140.5,2.36739658905569E-24,3.201698759163295E-25,-1.8365860633479205E-24
141,2.4160472619964632E-24,3.376810840995552E-25,-2.5982353630106867E-24
141.5,2.448325288252342E-24,3.519412470545374E-25,-3.323810720685536E-24
141.99999999999997,2.464898997303094E-24,3.624074082586408E-25,-4.002720794066666E-24
142.5,2.468063590140409E-24,3.694812466824023E-25,-4.6228555413206646E-24
142.99999999999997,2.4585375398580685E-24,3.7240451542729475E-25,-5.1815534085274916E-24
143.5,2.438513418828312E-24,3.7445448136254243E-25,-5.6812250251008374E-24
144,2.4076264375163955E-24,3.714633381001504E-25,-6.106731509239092E-24
144.5,2.369436479850794E-24,3.693107626928228E-25,-6.4813004884561564E-24
145,2.3244264064717126E-24,3.6314967680515385E-25,-6.795236820934944E-24
145.49999999999997,2.276454005547053E-24,3.571200260891867E-25,-7.054587671054744E-24
146,2.223165258418565E-24,3.490109307534048E-25,-7.26361869881621E-24
146.5,2.168715078817025E-24,3.4010736732350625E-25,-7.427619300341166E-24
147,2.1118367598512284E-24,3.3063687675928907E-25,-7.556866252763009E-24
147.5,2.0546205194528217E-24,3.2182972485031483E-25,-7.647335220879922E-24
147.99999999999997,1.9966193070923167E-24,3.127172405646968E-25,-7.711162380882332E-24
148.5,1.9383423829579218E-24,3.0151838328185427E-25,-7.745451343694424E-24
148.99999999999997,1.88276014986202E-24,2.925171385144714E-25,-7.761344358869598E-24
149.5,1.826128881871265E-24,2.8384302587422374E-25,-7.75399204071403E-24
150,1.7716915394203416E-24,2.7523742464983323E-25,-7.730022124136785E-24
150.5,1.718734623867383E-24,2.6568453570824367E-25,-7.697304958106652E-24
151,1.666702547496635E-24,2.578535887300231E-25,-7.648529904677616E-24
151.49999999999997,1.616036686580925E-24,2.4961234803070966E-25,-7.587053317512131E-24
152,1.5681683878948923E-24,2.4150501481525436E-25,-7.521545749694522E-24
152.5,1.5208334778731987E-24,2.337545662098249E-25,-7.443692123168468E-24
153,1.4751438531362997E-24,2.2610249118540783E-25,-7.364324790257476E-24
153.5,1.4311244156438587E-24,2.195378541108975E-25,-7.278923555802289E-24
153.99999999999997,1.3881257841263157E-24,2.138269350778876E-25,-7.192088959321165E-24
154.5,1.3472262456412167E-24,2.0674124778013168E-25,-7.098730217622365E-24
154.99999999999997,1.3069086882006542E-24,2.020043606420359E-25,-7.001989297885444E-24
155.5,1.2689300553933101E-24,1.9670857708875835E-25,-6.899914240840057E-24
156,1.2317962730147046E-24,1.9181410929883173E-25,-6.801839679673131E-24
156.5,1.1957718760422506E-24,1.8696234232559306E-25,-6.700971960063257E-24
157,1.161432653133498E-24,1.8245248720367555E-25,-6.6025198715029836E-24
157.49999999999997,1.1277830262982204E-24,1.782624653301224E-25,-6.493144148327244E-24
158,1.0954072673292676E-24,1.7538793729966542E-25,-6.389617022233024E-24
158.5,1.0632509850418605E-24,1.715177501775324E-25,-6.286363322862537E-24
159,1.0339435106216873E-24,1.6872684388144678E-25,-6.181158379128882E-24
159.5,1.0036319448442468E-24,1.6593181056823436E-25,-6.075214992805774E-24
159.99999999999997,9.753247561861817E-25,1.6388797493741254E-25,-5.96668461508832E-24
160.5,9.478373056355912E-25,1.6199845091735765E-25,-5.858708332131891E-24
160.99999999999997,9.213772013874601E-25,1.601522816538199E-25,-5.7474652384951596E-24
161.5,8.953531336140121E-25,1.5895997637056304E-25,-5.637520988838687E-24
162,8.698885980284079E-25,1.5839757967495065E-25,-5.524797712386423E-24
162.5,8.451403162006956E-25,1.5833281204466403E-25,-5.4132814391769736E-24
163,8.212611574033095E-25,1.5828030127367592E-25,-5.300532955119311E-24
163.49999999999997,7.985837421177952E-25,1.587380253660625E-25,-5.180779039837941E-24
164,7.760615485764736E-25,1.595647861607695E-25,-5.063808537335037E-24
164.49999999999997,7.540146117163285E-25,1.6126707796936186E-25,-4.944124843541368E-24
165,7.324822804067498E-25,1.628661821540815E-25,-4.8172809793825524E-24
165.5,7.116531972463018E-25,1.6533571079641763E-25,-4.691910252387095E-24
165.99999999999997,6.904652651521208E-25,1.6872698690489E-25,-4.5583834611285906E-24
166.5,6.701809669252788E-25,1.719674503356384E-25,-4.416363987773318E-24
166.99999999999997,6.50158666633407E-25,1.7658492501472832E-25,-4.270567452648427E-24
167.5,6.296921490017137E-25,1.8160155869638268E-25,-4.1157244257545396E-24
168,6.093207268309773E-25,1.8762005589479735E-25,-3.94520386739966E-24
168.5,5.88669809808956E-25,1.9348358471333017E-25,-3.770151289351343E-24
169,5.67065824895808E-25,2.0027112622017058E-25,-3.571190142850163E-24
169.49999999999997,5.448208489705408E-25,2.0691734752901767E-25,-3.3499045209338135E-24
170,5.205010753085194E-25,2.1270694765718055E-25,-3.103272217345754E-24
170.49999999999997,4.948446421663421E-25,2.1568212216285114E-25,-2.81844349530932E-24
171,4.687473154906722E-25,2.1431846306523407E-25,-2.4901074989594487E-24
171.5,4.429528486827542E-25,2.0381623602393361E-25,-2.1233735898611676E-24
171.99999999999997,4.257625221845118E-25,1.7927244703498608E-25,-1.744009960915076E-24
172.5,4.278561324709599E-25,1.3583838620569096E-25,-1.4619074260660747E-24
172.99999999999997,4.688888586561766E-25,7.305940241292067E-26,-1.5310818215189675E-24
173.5,5.511272672445057E-25,6.473054452925316E-27,-2.350665045326669E-24
174,6.346291643153939E-25,-3.858637465926901E-26,-3.91353334784627E-24
174.5,6.617781075795019E-25,-5.107372468081635E-26,-5.4365880742654284E-24
175,6.424285148620254E-25,-5.007074537782084E-26,-6.298432517788338E-24
175.49999999999997,6.125072974215029E-25,-4.788887188592292E-26,-6.6044692507939384E-24
176,5.877811557806426E-25,-4.7498763593835844E-26,-6.6306334172489E-24
176.49999999999997,5.735425087221076E-25,-4.503285519758424E-26,-6.539778950516823E-24
177,5.702401194415749E-25,-4.016178224705537E-26,-6.383494743504324E-24
177.5,5.744036639171456E-25,-3.431992268388538E-26,-6.235936818018387E-24
177.99999999999997,5.793286716560902E-25,-3.4518345099560484E-26,-6.274389971670316E-24
178.5,5.860290800902778E-25,-4.433644586686806E-26,-6.479982759887081E-24
178.99999999999997,5.956264291040357E-25,-5.869521618102183E-26,-6.766660128232362E-24
179.5,6.106985394533094E-25,-7.365491773988541E-26,-7.12069037532674E-24
180,6.282012785081224E-25,-9.079467393101731E-26,-7.54311510615986E-24
180.5,6.489592205664607E-25,-1.1057503740153922E-25,-8.046196524798926E-24
181,6.7139239224057175E-25,-1.33659410829198E-25,-8.637119162354943E-24
181.49999999999997,6.938946076512504E-25,-1.603034332251154E-25,-9.316073003721435E-24
182,7.1705450071906365E-25,-1.8897025213544436E-25,-1.0071534975016657E-23
182.49999999999997,7.369387545264998E-25,-2.1957859360466285E-25,-1.0884330458294517E-23
183,7.5311316318425055E-25,-2.5194677736556777E-25,-1.1726893244552546E-23
183.5,7.661881751419564E-25,-2.856653492225568E-25,-1.2587195560078783E-23
183.99999999999997,7.700980405164806E-25,-3.1597454203508943E-25,-1.3377548808427007E-23
184.5,7.692129510106575E-25,-3.4451779361854893E-25,-1.4093680285363208E-23
184.99999999999997,7.609543573551001E-25,-3.6822788796365615E-25,-1.471477828600052E-23
