% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 30 2025, 16:58
% Dimension:          1
% Nodes:              176
% Expressions:        6
% Description:        Table graph
% R0 (nm),real(px) (C*m),imag(px) (C*m),real(py) (C*m),imag(py) (C*m),real(pz) (C*m),imag(pz) (C*m)
48.99999999999999,7.679502298108621E-33,-1.6507803661680438E-33,1.417467731070264E-33,7.964433551283933E-33,-2.3910873529895073E-33,-8.277809856099046E-33
50,8.282427233031607E-33,-1.786734068748802E-33,1.5364447477273482E-33,8.596915644910865E-33,-2.6102338428081706E-33,-8.82866381769106E-33
50.99999999999999,8.921424652043719E-33,-1.932052019116845E-33,1.6638687080713855E-33,9.267723966873328E-33,-2.8477685030331985E-33,-9.40399191459916E-33
51.99999999999999,9.598104190624318E-33,-2.0873518041115972E-33,1.800322012874053E-33,9.978596952012566E-33,-3.105157267018603E-33,-1.0004142707646629E-32
53,1.0314145082786543E-32,-2.2532917680205005E-33,1.9464380935156653E-33,1.0731335561426296E-32,-3.383999158943953E-33,-1.0629506653472633E-32
53.99999999999999,1.1071292001780928E-32,-2.430600275403316E-33,2.1028965802876254E-33,1.1527818353928902E-32,-3.685947949305083E-33,-1.128032676559344E-32
54.99999999999999,1.1871344461914337E-32,-2.620045308715467E-33,2.2704412861994556E-33,1.2369985849267107E-32,-4.012809954126898E-33,-1.1956750378717083E-32
56,1.2716188354643922E-32,-2.8224777202321316E-33,2.4498723258257227E-33,1.325986133082604E-32,-4.3664761540611E-33,-1.265886618223691E-32
56.99999999999999,1.3607767237481474E-32,-3.0388102178000173E-33,2.6420683401904933E-33,1.4199545117200528E-32,-4.7489695334269154E-33,-1.3386657412629265E-32
57.99999999999999,1.454810659947221E-32,-3.270031746234077E-33,2.8479824904049658E-33,1.5191216775358774E-32,-5.162424751945262E-33,-1.4139962071631405E-32
59,1.5539305051896362E-32,-3.517220790236632E-33,3.0686552468166757E-33,1.6237144604892077E-32,-5.609092869815699E-33,-1.491844784235078E-32
60,1.658356154717029E-32,-3.781558730257933E-33,3.305217441692054E-33,1.7339683337170943E-32,-6.091429578804374E-33,-1.5721759691083326E-32
60.99999999999999,1.76831382529607E-32,-4.064325110728927E-33,3.5589072205922266E-33,1.8501291006074616E-32,-6.611788291959496E-33,-1.654917746251441E-32
61.99999999999999,1.884039625177041E-32,-4.366903849211838E-33,3.831084061000652E-33,1.9724506609268557E-32,-7.172879370886545E-33,-1.7399940157346244E-32
63,2.0057785159587915E-32,-4.690833034899018E-33,4.1232247625929774E-33,2.1011984591041285E-32,-7.777383728427983E-33,-1.8272915350747655E-32
63.99999999999999,2.133786193734736E-32,-5.0377670655803495E-33,4.436948738065969E-33,2.2366474191324035E-32,-8.428026317391696E-33,-1.916685972648086E-32
64.99999999999999,2.2683266291886523E-32,-5.4095361003043856E-33,4.7740397043727316E-33,2.379084236000968E-32,-9.12781285132543E-33,-2.008026999923264E-32
66,2.4096736790364315E-32,-5.808123155434117E-33,5.136448027504251E-33,2.5288059104567544E-32,-9.879567439379492E-33,-2.101103565951065E-32
67,2.558113858518021E-32,-6.235725218627288E-33,5.526308847933414E-33,2.6861209707619213E-32,-1.0686387660712311E-32,-2.195705180209549E-32
67.99999999999999,2.7139424864226714E-32,-6.694724842711385E-33,5.945984558415777E-33,2.8513512242002217E-32,-1.155111389023537E-32,-2.2915954560796297E-32
69,2.8774646376894923E-32,-7.187759963664411E-33,6.398059530151233E-33,3.0248280343923115E-32,-1.2476871588397195E-32,-2.388437239128108E-32
70,3.048998646234506E-32,-7.717712381500368E-33,6.885388520843494E-33,3.2068980353859373E-32,-1.3466465757569758E-32,-2.4859430726918006E-32
70.99999999999999,3.2288731301995013E-32,-8.287769986554194E-33,7.411098649333084E-33,3.397917246669428E-32,-1.452267980261848E-32,-2.5837242452673247E-32
72,3.4174241275058023E-32,-8.90141927666732E-33,7.978659838506503E-33,3.598255250091934E-32,-1.5648207678028479E-32,-2.681335671097057E-32
73,3.615001202115241E-32,-9.562511557591692E-33,8.591887533173344E-33,3.8082934520888295E-32,-1.6845546833966637E-32,-2.778330575225883E-32
73.99999999999999,3.8219626726231433E-32,-1.027528599899695E-32,9.254997196623674E-33,4.028424724548273E-32,-1.8116839023367165E-32,-2.874194347742E-32
75,4.0386747736743487E-32,-1.1044449060900047E-32,9.972639830338863E-33,4.259052846595103E-32,-1.946398908935455E-32,-2.9683591763560386E-32
76,4.265512266617069E-32,-1.1875129750095483E-32,1.074996929317606E-32,4.500590546899094E-32,-2.0888303624937153E-32,-3.0602481936708606E-32
76.99999999999999,4.5028550986100815E-32,-1.277307690936072E-32,1.1592673746206998E-32,4.753460600596251E-32,-2.2390856427587939E-32,-3.1492035122126453E-32
78,4.7510849392401715E-32,-1.3744580461611423E-32,1.2507063152726672E-32,5.01808908180009E-32,-2.3972136534802306E-32,-3.234469327832827E-32
79,5.010590596298292E-32,-1.479659023720014E-32,1.35001275370212E-32,5.294910705271794E-32,-2.563155999496284E-32,-3.3154924978589863E-32
79.99999999999999,5.281751345322107E-32,-1.5936878940433833E-32,1.4579586956575335E-32,5.584354048680562E-32,-2.736863930953574E-32,-3.391393274460628E-32
81,5.564940287391909E-32,-1.7173992105535846E-32,1.5754026373021412E-32,5.886848368578085E-32,-2.918154938116031E-32,-3.461416378104984E-32
82,5.860519887003673E-32,-1.8517362026437697E-32,1.7032964925714878E-32,6.202811222147726E-32,-3.1067408134228464E-32,-3.524830208575618E-32
82.99999999999999,6.168828775645778E-32,-1.9977497757904924E-32,1.842695143672958E-32,6.532642417784823E-32,-3.3023065069675947E-32,-3.5808006669938515E-32
84,6.490177429364365E-32,-2.156601026594541E-32,1.9947699758336251E-32,6.87671726335524E-32,-3.504384272548181E-32,-3.628587262043673E-32
85,6.824831858863648E-32,-2.329577715354343E-32,2.160817444472618E-32,7.235371536419224E-32,-3.7124812073355254E-32,-3.667448318626665E-32
85.99999999999999,7.173001996599436E-32,-2.5181058972599707E-32,2.3422776650187152E-32,7.608890353385168E-32,-3.9259716232986414E-32,-3.696672015041815E-32
87,7.534823818340523E-32,-2.7237613291929374E-32,2.540747550157983E-32,7.997488425140829E-32,-4.144090102139602E-32,-3.7155557933699703E-32
88,7.91033362867335E-32,-2.948278638091289E-32,2.757989233453482E-32,8.401287754726407E-32,-4.36599889547767E-32,-3.7235743301442353E-32
88.99999999999999,8.299445829082911E-32,-3.1935890693831126E-32,2.995955013614756E-32,8.820288882115625E-32,-4.590979594389823E-32,-3.7202265251052605E-32
