% Model:              2D-Au-Plate_from_psi.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 20 2025, 18:25
% Dimension:          1
% Nodes:              100
% Expressions:        2
% Description:        Table graph
% psi,F_x (N),F_y (N)
0,2.9092490297749105E-25,-3.5879405222785323E-26
0.03173325912716963,2.912222277033581E-25,-4.707326150392278E-26
0.06346651825433926,2.9211300465928417E-25,-5.822204407657728E-26
0.0951997773815089,2.9359364700075925E-25,-6.928086072831101E-26
0.12693303650867852,2.956581927038063E-25,-8.020518150749045E-26
0.15866629563584814,2.9829832857139164E-25,-9.095101803014907E-26
0.1903995547630178,3.015034237083326E-25,-1.014751006051473E-25
0.2221328138901874,3.052605723276576E-25,-1.1173505246646814E-25
0.25386607301735703,3.095546457178943E-25,-1.2168956040913496E-25
0.28559933214452665,3.1436835316114826E-25,-1.312985411430041E-25
0.3173325912716963,3.196823115564796E-25,-1.405233026941326E-25
0.3490658503988659,3.254751234689944E-25,-1.4932670020353195E-25
0.3807991095260356,3.31723463289624E-25,-1.5767328549655529E-25
0.4125323686532052,3.38402171159227E-25,-1.6552944982013144E-25
0.4442656277803748,3.454843542784006E-25,-1.728635591732752E-25
0.47599888690754444,3.5294149519540103E-25,-1.7964608168615187E-25
0.5077321460347141,3.6074356663562557E-25,-1.8584970653447956E-25
0.5394654051618837,3.688591524110977E-25,-1.9144945391052883E-25
0.5711986642890533,3.772555739223007E-25,-1.964227756079691E-25
0.6029319234162229,3.8589902174323597E-25,-2.0074964581563809E-25
0.6346651825433925,3.9475469176016355E-25,-2.0441264175439864E-25
0.6663984416705622,4.0378692531550266E-25,-2.0739701383235868E-25
0.6981317007977318,4.129593527925954E-25,-2.0969074503653306E-25
0.7298649599249014,4.2223504006333535E-25,-2.1128459932091394E-25
0.7615982190520711,4.315766372088462E-25,-2.121721587968422E-25
0.7933314781792408,4.409465289145521E-25,-2.1234984957554875E-25
0.8250647373064104,4.503069859335445E-25,-2.1181695615899627E-25
0.85679799643358,4.596203170091687E-25,-2.1057562432087397E-25
0.8885312555607496,4.688490206441994E-25,-2.086308524663862E-25
0.9202645146879193,4.779559361063896E-25,-2.0599047150536976E-25
0.9519977738150889,4.86904393061339E-25,-2.026651133201282E-25
0.9837310329422585,4.956583592312088E-25,-1.9866816795431036E-25
1.0154642920694281,5.041825854839178E-25,-1.940157296962872E-25
1.0471975511965979,5.124427477688578E-25,-1.8872653227284085E-25
1.0789308103237674,5.204055853279488E-25,-1.8282187341518781E-25
1.110664069450937,5.28039034624756E-25,-1.763255291005346E-25
1.1423973285781066,5.353123584531135E-25,-1.692636578146608E-25
1.1741305877052763,5.421962697050573E-25,-1.6166469522067905E-25
1.2058638468324459,5.486630492996011E-25,-1.5355923965905154E-25
1.2375971059596156,5.546866577977451E-25,-1.4497992893849433E-25
1.269330365086785,5.602428402540547E-25,-1.359613089152796E-25
1.3010636242139548,5.653092238827798E-25,-1.2653969438921021E-25
1.3327968833411243,5.698654081452043E-25,-1.1675302287665096E-25
1.364530142468294,5.738930468954075E-25,-1.0664070184956443E-25
1.3962634015954636,5.773759222536341E-25,-9.624345005582447E-26
1.4279966607226333,5.803000099101097E-25,-8.560313355859448E-26
1.4597299198498028,5.826535355958649E-25,-7.47625971570516E-26
1.4914631789769726,5.844270224935908E-25,-6.376549186517426E-26
1.5231964381041423,5.856133293975347E-25,-5.265609914458821E-26
1.5549296972313118,5.862076794685004E-25,-4.147915259882612E-26
1.5866629563584815,5.86207679468496E-25,-3.027965784677825E-26
1.618396215485651,5.856133293975445E-25,-1.9102711301006348E-26
1.6501294746128208,5.844270224935968E-25,-7.993318580444153E-27
1.6818627337399903,5.826535355958447E-25,3.0037867114511154E-27
1.71359599286716,5.803000099101202E-25,1.3844323112990772E-26
1.7453292519943295,5.773759222536442E-25,2.4484639610212944E-26
1.7770625111214993,5.738930468954154E-25,3.488189140400128E-26
1.8087957702486688,5.698654081452051E-25,4.4994212431035043E-26
1.8405290293758385,5.6530922388277495E-25,5.478088394360258E-26
1.872262288503008,5.602428402540543E-25,6.420249846969039E-26
1.9039955476301778,5.5468665779774835E-25,7.322111849290311E-26
1.9357288067573473,5.486630492996058E-25,8.180042921343629E-26
1.967462065884517,5.421962697050662E-25,8.990588477508691E-26
