% Model:              2D-Au-Plate.mph
% Version:            COMSOL 6.1.0.282
% Date:               Feb 25 2025, 15:16
% Dimension:          1
% Nodes:              91
% Expressions:        5
% Description:        Table graph
% R0 (nm),C_ED (m^2),C_MD (m^2),C_EQ (m^2),C_MQ (m^2),C_full (m^2)
69,2.009815620667174E-14,1.2384408474339652E-15,4.5881696211320905E-18,1.7449609803197158E-19,2.1341359719824868E-14
70,2.2587009766622178E-14,1.5149972203296907E-15,5.344323828726776E-18,2.2029657800038613E-19,2.4107571607358598E-14
70.99999999999999,2.5344292142838577E-14,1.8555540853667367E-15,6.224432844856984E-18,2.773186209001133E-19,2.7206347979671073E-14
72,2.838967510676059E-14,2.2760982630885967E-15,7.251181059932534E-18,3.480745199615347E-19,3.067337262542908E-14
73,3.174133054316124E-14,2.797098882126118E-15,8.452337886205433E-18,4.355575017683052E-19,3.454731732067533E-14
73.99999999999999,3.541411941929475E-14,3.444934712770325E-15,9.8618980257198E-18,5.433046828600337E-19,3.886945933477366E-14
75,3.941743489673133E-14,4.253927833774587E-15,1.1521770048652569E-17,6.754430356083771E-19,4.368355994359018E-14
76,4.37523040822547E-14,5.269140910469373E-15,1.3483604151423748E-17,8.367289946954093E-19,4.9035765325870195E-14
76.99999999999999,4.840734081971327E-14,6.550419785526058E-15,1.5810803990353202E-17,1.0325551686440799E-18,5.497460396439833E-14
78,5.335338569693432E-14,8.17831146597158E-15,1.8580875019539025E-17,1.2689192849279225E-18,6.155154695721037E-14
79,5.853685414489289E-14,1.0263082160990938E-14,2.188812480286129E-17,1.5523427211285968E-18,6.882337677340782E-14
79.99999999999999,6.387115829744233E-14,1.295882995279147E-14,2.5844623762917376E-17,1.889766572220228E-18,7.685772264056893E-14
81,6.922747305799546E-14,1.648683241846248E-14,3.058101149720522E-17,2.288508656354603E-18,8.574717499661149E-14
82,7.442542298260582E-14,2.1176515954128348E-14,3.624296840291347E-17,2.7564862489443763E-18,9.564093839138602E-14
82.99999999999999,7.922665918622127E-14,2.754255117294525E-14,4.298183643499279E-17,3.3033276866448604E-18,1.0681549552328815E-13
84,8.333980114802513E-14,3.6443262214296936E-14,5.093300651941216E-17,3.943709219350771E-18,1.1983794007806084E-13
85,8.644779252305867E-14,4.943458461624232E-14,6.017625571783855E-17,4.7059020403931415E-18,1.359472592970592E-13
85.99999999999999,8.828270403178776E-14,6.962482487682755E-14,7.066753529665166E-17,5.6515207414926064E-18,1.5798384796465347E-13
87,8.877992905292061E-14,1.0374371416794404E-13,8.213584144278957E-17,6.913904697746256E-18,1.926126929670052E-13
88,8.834925275530865E-14,1.6539276810741513E-13,9.395720423125155E-17,8.717947908709771E-18,2.5384469601486377E-13
88.99999999999999,8.826102066613192E-14,2.603543276335069E-13,1.0505350292539079E-16,1.0990113470665505E-17,3.487313919160349E-13
90,9.102535993436154E-14,3.0540679439009817E-13,1.139443232396205E-16,1.2487530677151679E-17,3.9655858617837654E-13
91,1.0043496831235362E-13,2.560267401590838E-13,1.1913994691896466E-16,1.4098506826376002E-17,3.5659494692518274E-13
91.99999999999999,1.2079902397507672E-13,2.0692882780166935E-13,1.1994452395403918E-16,1.8246912552795837E-17,3.278660432132529E-13
93,1.5526397232841492E-13,1.7802328908075716E-13,1.1736553645321827E-16,2.5510268126347915E-17,3.334301372137516E-13
94,2.0406142460987216E-13,1.5878085595755005E-13,1.1441280354688117E-16,3.59440280656948E-17,3.629926373990348E-13
94.99999999999999,2.640324895923981E-13,1.425209625809158E-13,1.1533172019755626E-16,4.934893986909744E-17,4.0671813283338055E-13
96,3.298627193091711E-13,1.269939537947108E-13,1.242356083357062E-16,6.525993137078339E-17,4.570461686435884E-13
97,3.9599688762656706E-13,1.120213776511158E-13,1.4406441807519607E-16,8.308484953354093E-17,5.082454145452917E-13
97.99999999999999,4.579810394009026E-13,9.803703326957675E-14,1.7632351607738933E-16,1.0224960575088963E-16,5.562966457923076E-13
98.99999999999999,5.128756526958748E-13,8.54484286975893E-14,2.2135786105154981E-16,1.222689524632984E-16,5.986677082069789E-13
100,5.590769758140379E-13,7.445877137004139E-14,2.7878162048574196E-16,1.4274954234024604E-16,6.339572783469051E-13
100.99999999999999,5.959523196083747E-13,6.508435446046018E-14,3.4780373399839506E-16,1.6336761550060178E-16,6.615478454183338E-13
101.99999999999999,6.235367756964537E-13,5.722500622146738E-14,4.274635542303605E-16,1.8385560184921361E-16,6.813731010740007E-13
103,6.422816222791863E-13,5.0718810839677845E-14,5.167466600683598E-16,2.0398347283172045E-16,6.937211632517643E-13
103.99999999999999,6.529177845169465E-13,4.538504071072915E-14,6.146728803979691E-16,2.2356157090584547E-16,6.991410596789795E-13
104.99999999999999,6.563181687179213E-13,4.1043751922622515E-14,7.203471766234288E-16,2.424360997214825E-16,6.983247039168888E-13
106,6.534417068072623E-13,3.753008872178953E-14,8.329963536383546E-16,2.6049472201566746E-16,6.920652866047059E-13
106.99999999999999,6.452632014791533E-13,3.469854791529077E-14,9.520018024457508E-16,2.776637688291748E-16,6.81191414965719E-13
107.99999999999999,6.327032630382565E-13,3.242184583376105E-14,1.0768540486141333E-15,2.939119844239362E-16,6.664958749050557E-13
109,6.166201237796353E-13,3.059275263327182E-14,1.2072271670113454E-15,3.0925637230932224E-16,6.487293599522278E-13
109.99999999999999,5.977763970885913E-13,2.9121189098637426E-14,1.3428844043424233E-15,3.237693168093661E-16,6.285642399083805E-13
