% Model:              2D-Au-Plate.mph
% Version:            COMSOL 6.1.0.282
% Date:               Feb 13 2025, 16:56
% Dimension:          1
% Nodes:              61
% Expressions:        4
% Description:        Table graph
% lambda0 (nm),C_ED (m^2),C_MD (m^2),C_EQ (m^2),C_MQ (m^2)
300,1.8834889658609952E-14,1.7343854189010472E-14,8.728480972505853E-15,8.394683506747099E-16
309.99999999999994,2.1742645612785246E-14,1.5600714139509453E-14,7.36179129745537E-15,6.985443186356111E-16
319.99999999999994,2.442151132429547E-14,1.3912596311400587E-14,6.3545492097689324E-15,5.783150507958704E-16
330,2.6493540231750774E-14,1.2561190294868399E-14,5.3673011484017016E-15,4.900052434799405E-16
340,2.9261617090820305E-14,1.1267341530496188E-14,4.526135854141798E-15,4.1365356399636947E-16
350,3.305498930163037E-14,1.017689168747429E-14,3.829017435540044E-15,3.492101176620125E-16
360,3.7282357370678184E-14,9.45935844308863E-15,3.2400940788863357E-15,3.061780273582044E-16
369.99999999999994,3.947968667954589E-14,9.072096171304474E-15,2.617825969342591E-15,3.033709604166177E-16
379.99999999999994,3.870625766002807E-14,7.682319646345978E-15,2.178494397737425E-15,3.4397259166891805E-16
390,2.8421041227201627E-14,7.625149191525517E-15,1.9109221028815424E-15,5.78269380846681E-16
400,5.62096384649182E-14,1.1708311018075449E-14,1.3765418480893629E-15,5.960917992372266E-17
410,6.41627295074942E-14,1.5096503732452717E-14,8.952013769767012E-16,5.95505422776214E-17
419.99999999999994,7.124773898069152E-14,7.565403841130567E-15,4.315672034248217E-16,1.289762502972234E-16
429.99999999999994,6.359405396198546E-14,5.281782051799001E-16,3.7253930311840873E-16,2.0955451972031494E-16
439.99999999999994,5.162711936207886E-14,9.836442396050948E-16,2.9946625580334557E-15,2.7544871993997444E-16
450,3.9580142870220453E-14,1.3723083325416358E-15,1.5131367355797997E-15,4.3188731278559303E-16
460,2.4279075603135985E-14,1.549026821938573E-15,8.897844150934311E-16,7.008992212526611E-16
470,9.073757979800085E-15,1.800935685010083E-15,5.983990157791383E-16,1.2657982980296009E-15
480,1.2480401262838684E-15,2.542487605250025E-15,4.543046746410047E-16,2.9187284488574745E-15
490,1.198815301935477E-14,4.825599609204423E-15,4.600865454096633E-16,1.1252419919686558E-14
500,6.134744606998045E-14,5.621180521481267E-15,4.1189366900484645E-16,3.879953191360349E-15
509.99999999999994,1.1126162401889724E-13,7.181005431309274E-15,4.453324820608296E-16,4.456120388384082E-16
519.9999999999999,1.3918755696735758E-13,8.479594362748673E-15,4.703057662725022E-16,1.469746607808996E-16
530,1.625961341044619E-13,9.21239326097741E-15,4.572310657748183E-16,9.736299650421789E-17
540,1.877587311466075E-13,9.800320293175721E-15,4.312152633957421E-16,8.289024999741635E-17
550,2.1654450480992725E-13,1.0489121126929766E-14,3.89781230187763E-16,7.674843063520655E-17
560,2.4155977996340725E-13,1.1530200830844445E-14,3.2787251577980496E-16,7.074914580016194E-17
570,2.59080656208223E-13,1.3794610984650028E-14,2.6028255869998404E-16,6.355594446153616E-17
580,2.6720354419428923E-13,1.8536087648974997E-14,1.9624400421331362E-16,5.576248855507067E-17
590,2.6187788910857476E-13,2.767817432288662E-14,1.3877131942364412E-16,4.7355426306016216E-17
600,2.382649514947027E-13,4.458283760708968E-14,9.154654340253935E-17,3.81914917435501E-17
610,1.8734607570924988E-13,7.068859153924511E-14,6.215578727325522E-17,2.7188470788845506E-17
619.9999999999999,1.2351093213081563E-13,9.932111313742711E-14,5.821950826241586E-17,1.610483730078208E-17
629.9999999999999,8.370247247306206E-14,1.4096850993296172E-13,6.548747355007579E-17,9.287019428960736E-18
639.9999999999999,7.175420967045085E-14,1.9359229581596433E-13,6.738732546934909E-17,7.286927236016458E-18
650,7.171646274755408E-14,1.1057976427778528E-13,6.235974479302616E-17,5.7238460610915704E-18
660,7.369443310213211E-14,5.677539985151997E-14,5.4051989841028316E-17,4.376153315151967E-18
670,7.415748090024199E-14,3.5028387180319514E-14,4.522500912644025E-17,3.5118626768041664E-18
680,7.265016393078016E-14,2.3954104880083437E-14,3.7291063829270226E-17,2.8611761071927702E-18
690,6.951741128745673E-14,1.738005870724717E-14,3.073809744193415E-17,2.332542270611076E-18
700,6.538380102934561E-14,1.3138624634923872E-14,2.5560795799269106E-17,1.898705191970904E-18
710,6.070195995342685E-14,1.0097920747205476E-14,2.1481211733102868E-17,1.5363494617022151E-18
720,5.590280642854627E-14,7.949643551945321E-15,1.8319298685455288E-17,1.2435110829586496E-18
729.9999999999999,5.1209156953205305E-14,6.34579496190691E-15,1.5821270771373067E-17,1.0055007921253518E-18
