% Model:              2D-Au-Plate.mph
% Version:            COMSOL 6.1.0.282
% Date:               Feb 13 2025, 15:59
% Dimension:          1
% Nodes:              61
% Expressions:        4
% Description:        Table graph
% lambda0 (nm),C_ED (m^2),C_MD (m^2),C_EQ (m^2),C_MQ (m^2)
300,2.951109289405047E-14,3.3599365307012427E-15,9.932763076968962E-16,6.884880349824116E-17
309.99999999999994,3.149835614820867E-14,2.9076884017121177E-15,7.688826017272431E-16,5.864460591613795E-17
319.99999999999994,3.2769627304871736E-14,2.4639687094885968E-15,6.073303096924121E-16,4.949185065186026E-17
330,3.3104102128792794E-14,2.1391293517813345E-15,4.77541202592882E-16,4.264159806835142E-17
340,3.4192054377597486E-14,1.8326739575460402E-15,3.773973493573553E-16,3.6819839856541384E-17
350,3.6238638764042456E-14,1.5671980472847505E-15,3.020553406113001E-16,3.2210510651090956E-17
360,3.848985011362386E-14,1.3740087773788535E-15,2.441963038662147E-16,2.997378850125472E-17
369.99999999999994,3.830941951053279E-14,1.2913129407055212E-15,1.9191508019348457E-16,3.2445902319779494E-17
379.99999999999994,4.0638371018176404E-14,1.4052797665858276E-15,1.4170712273501188E-16,2.3603370986742985E-17
390,3.722331737167503E-14,4.7337490825172315E-16,1.0472602471515978E-16,3.556426497460457E-17
400,2.496555629868039E-14,3.319361715783219E-16,1.5292224374176853E-16,7.591210450364321E-17
410,1.2559076184904148E-14,5.215504218291127E-16,1.0120849261498954E-16,1.6989866951881539E-16
419.99999999999994,4.69732335103221E-15,8.94080800505659E-16,7.671809812948759E-17,5.129101314408503E-16
429.99999999999994,2.814154703574602E-14,1.4272640915613578E-15,7.26870801675811E-17,5.095905754040316E-16
439.99999999999994,8.332820035492318E-14,1.5025735959900445E-15,7.481758641155599E-17,9.667778548307785E-17
450,8.83117290791526E-14,1.244686285679883E-15,6.100003951819686E-17,4.768841585521104E-17
460,7.262175638024212E-14,1.2872351834687175E-15,4.6210233759026483E-17,2.475715858022547E-17
470,5.842188149892652E-14,1.6630537734837592E-15,3.564763424669578E-17,1.3487703722916426E-17
480,4.8788346975159705E-14,2.4419547759505542E-15,2.8926570110173593E-17,7.879555423162093E-18
490,4.184061473512556E-14,4.041298876896807E-15,2.405655034786904E-17,4.866724065795566E-18
500,3.74986489907301E-14,7.833783782864655E-15,2.0484014174274263E-17,3.257868063308424E-18
509.99999999999994,3.392639114470496E-14,2.06402773980504E-14,1.8000664891186983E-17,2.263257710964355E-18
519.9999999999999,3.045840157338786E-14,4.520929665974788E-14,1.7667443025490772E-17,1.5924034605818523E-18
530,2.956829291716751E-14,2.245592035377286E-14,1.6172258305670194E-17,1.2365608914408744E-18
540,2.915374325077856E-14,9.752830884286539E-15,1.3868040079917926E-17,9.598208378283982E-19
550,2.839539493919428E-14,5.730590301864295E-15,1.141880016305099E-17,7.559693712467322E-19
560,2.6858129321910862E-14,3.832756135711625E-15,9.091099857405342E-18,5.893106639416836E-19
570,2.483613696670759E-14,2.731732006410315E-15,7.231855305611484E-18,4.548592274092827E-19
