% Model:              3D-Au-Plate.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 12 2025, 16:29
% Dimension:          1
% Nodes:              61
% Expressions:        6
% Description:        Table graph
% lambda0 (nm),real(px) (C*m),imag(px) (C*m),real(py) (C*m),imag(py) (C*m),real(pz) (C*m),imag(pz) (C*m)
994.9999999999999,4.64880703797545E-31,-3.2691873169324224E-31,3.5876371878456917E-31,5.357768218717676E-31,-1.192364852886334E-31,3.1985784530667696E-32
1000,4.3730722681537695E-31,-2.943733432326867E-31,3.224009826385488E-31,5.0708381654708645E-31,-1.2190043885586663E-31,3.086814027799344E-32
1005,4.078404599113004E-31,-2.6851407348255447E-31,2.931616340138548E-31,4.76258243221734E-31,-1.2457919954269575E-31,2.966435039397772E-32
1010,3.781957474696676E-31,-2.491325409027356E-31,2.708542538037733E-31,4.451348792404512E-31,-1.2726575239210902E-31,2.84006724159741E-32
1014.9999999999999,3.497951907094291E-31,-2.355699755908757E-31,2.548054396424118E-31,4.152385348084094E-31,-1.2995487216411893E-31,2.710474943462917E-32
1019.9999999999999,3.22513265617108E-31,-2.26831593742321E-31,2.4391683870877894E-31,3.8645943741526678E-31,-1.326488994055502E-31,2.574597756109519E-32
1025,2.967308718945285E-31,-2.2230294425130014E-31,2.3752661592102087E-31,3.5921048578306244E-31,-1.353444130871737E-31,2.4322492519930215E-32
1030,2.727176784828126E-31,-2.2142337225248285E-31,2.3503091590690126E-31,3.3378343527512268E-31,-1.380383801238672E-31,2.2834891690711323E-32
1035,2.5067072639840773E-31,-2.237056094338936E-31,2.359036267995352E-31,3.1038736766884134E-31,-1.407280939946443E-31,2.1279208291011678E-32
1039.9999999999998,2.3072836411975424E-31,-2.2870145755020396E-31,2.396638931174426E-31,2.891689758678369E-31,-1.4341229472299638E-31,1.9657362930513002E-32
1045,2.129932293600264E-31,-2.3601544771157655E-31,2.458870984981358E-31,2.7023360270470215E-31,-1.4608530407091373E-31,1.7966002472216743E-32
1050,1.975368413702681E-31,-2.4528005732622407E-31,2.5418028697656114E-31,2.53653134641498E-31,-1.4874389460133232E-31,1.6206108884467566E-32
1055,1.8441383591703945E-31,-2.5615861159686245E-31,2.641857087125946E-31,2.394807976621464E-31,-1.5138576147607667E-31,1.4377654133991745E-32
1060,1.736541519869896E-31,-2.683294385972107E-31,2.7556180396074446E-31,2.2774320352461892E-31,-1.5400623402953279E-31,1.2481765223495048E-32
1064.9999999999998,1.6527994820093832E-31,-2.8148989153254473E-31,2.8798812042964908E-31,2.184563187593616E-31,-1.5660325566705417E-31,1.0521551559347908E-32
1070,1.5928383273484305E-31,-2.95338033293697E-31,3.0114839901006046E-31,2.116021050812379E-31,-1.5917995985573222E-31,8.497454549502964E-33
1075,1.556452800570551E-31,-3.0957990141789445E-31,3.1474190586269842E-31,2.0714981206938303E-31,-1.6173465995238782E-31,6.404443896526472E-33
1080,1.5430551641801008E-31,-3.2392836786918746E-31,3.2847832405960285E-31,2.0503547495760296E-31,-1.6426351609304793E-31,4.2389615639104544E-33
1084.9999999999998,1.5510584647903325E-31,-3.3773294583953028E-31,3.417073800412663E-31,2.0511867827186483E-31,-1.6676615466004584E-31,2.0344634510648154E-33
1090,1.5791956852381982E-31,-3.5115336515351018E-31,3.545761597053633E-31,2.0724599261519227E-31,-1.6922977233317588E-31,-2.4336419853221003E-34
1095,1.6279629326656147E-31,-3.6429544657516774E-31,3.6718283831632163E-31,2.1144219922677184E-31,-1.7164050457396551E-31,-2.6285401701622845E-33
1100,1.695010769040001E-31,-3.7656002383961705E-31,3.7893014792662664E-31,2.1748860277003242E-31,-1.7400532953995057E-31,-5.079530357359051E-33
