,wl,px,py,pz,mx,my,mz,Fx,Fxe0,Fxe1,Fxe2,Fxm0,Fxm1,Fxm2,Fxcross,Fy,Fye0,Fye1,Fye2,Fym0,Fym1,Fym2,Fycross,Fz,Fze0,Fze1,Fze2,Fzm0,Fzm1,Fzm2,Fzcross,Fxspp,Fxsppe1,Fxsppe2,Fxsppm1,Fxsppm2,Fyspp,Fysppe1,Fysppe2,Fysppm1,Fysppm2
32,792 nanometer,(1.049026036984695e-31+2.5263059968944772e-31j) coulomb * meter,0j coulomb * meter,(-2.5229755280058016e-32+2.713582637801665e-32j) coulomb * meter,0j ampere * meter ** 2,(4.0527706368214086e-24-1.947256616285025e-23j) ampere * meter ** 2,0j ampere * meter ** 2,4.282985177351594e-25 newton,4.7419084666887445e-25 newton,-6.283034505487944e-26 newton,-8.059347672249643e-27 newton,5.919789717511992e-26 newton,0.0 newton,-9.236787478837983e-27 newton,-2.4963745902867833e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,-0.0 newton,-0.0 newton,-6.225321826505098e-25 newton,-3.3944277799944714e-25 newton,-3.1142452351675717e-25 newton,-1.2924626054444002e-25 newton,-9.771286942968822e-27 newton,8.93039277569021e-27 newton,-1.9476318622566643e-26 newton,1.7789859219997985e-25 newton,-6.112609819489653e-26 newton,-3.0056779221763417e-26 newton,-9.293287353671997e-27 newton,0.0 newton,-2.1776031619461026e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton
33,798 nanometer,(1.2947871647020222e-31+2.752339406164796e-31j) coulomb * meter,0j coulomb * meter,(-2.5440838478908936e-32+3.227229902652793e-32j) coulomb * meter,0j ampere * meter ** 2,(2.139028598800895e-24-2.039263193293184e-23j) ampere * meter ** 2,0j ampere * meter ** 2,4.957860481632878e-25 newton,5.537394051006441e-25 newton,-7.392570221180277e-26 newton,-8.799447622748453e-27 newton,6.253418742223546e-26 newton,0.0 newton,-1.0396223057005035e-26 newton,-2.736617146803548e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,-0.0 newton,-0.0 newton,-7.523507935693953e-25 newton,-3.851861526058811e-25 newton,-3.707411491663436e-25 newton,-1.3910019176763136e-25 newton,-5.57151006675454e-26 newton,8.804174950102463e-27 newton,-1.5342468960265958e-26 newton,2.0493009464816964e-25 newton,-6.891738452022459e-26 newton,-3.493827448662754e-26 newton,-9.658663628154252e-27 newton,0.0 newton,-2.4320446405442816e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton
34,804 nanometer,(1.5592599110031382e-31+2.9649331003219525e-31j) coulomb * meter,0j coulomb * meter,(-2.5159564019702617e-32+3.7188511725516386e-32j) coulomb * meter,0j ampere * meter ** 2,(8.409679250438452e-26-2.1038272779602894e-23j) ampere * meter ** 2,0j ampere * meter ** 2,5.656875360680617e-25 newton,6.35776852560536e-25 newton,-8.506485485083961e-26 newton,-9.329094327344843e-27 newton,6.49726961664976e-26 newton,0.0 newton,-1.1427448125100726e-26 newton,-2.924061535568679e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,-0.0 newton,-0.0 newton,-8.810154960466911e-25 newton,-4.303543115026958e-25 newton,-4.329790765897724e-25 newton,-1.4646484666300957e-25 newton,-1.024129477544477e-25 newton,8.585898574540415e-27 newton,-9.399715471277565e-27 newton,2.3200950335997165e-25 newton,-7.594262868056368e-26 newton,-3.972522573106205e-26 newton,-9.573713265450202e-27 newton,0.0 newton,-2.6643689684051545e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton
35,810 nanometer,(1.8437574126831172e-31+3.1653452461027676e-31j) coulomb * meter,0j coulomb * meter,(-2.4505505902903147e-32+4.1862268327582725e-32j) coulomb * meter,0j ampere * meter ** 2,(-2.1143519449447344e-24-2.140273907690363e-23j) ampere * meter ** 2,0j ampere * meter ** 2,6.382478799454236e-25 newton,7.2065776283920075e-25 newton,-9.635438722123569e-26 newton,-9.616957780970384e-27 newton,6.641905332593708e-26 newton,0.0 newton,-1.2315378395283004e-26 newton,-3.054221282222513e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,-0.0 newton,-0.0 newton,-1.0076871902412353e-24 newton,-4.744644640143745e-25 newton,-4.985398639607621e-25 newton,-1.5102827773427886e-25 newton,-1.4988500949462366e-25 newton,8.2989385768626e-27 newton,-1.2877466118831949e-27 newton,2.592192329978244e-25 newton,-8.220378858367664e-26 newton,-4.447062533551314e-26 newton,-8.976936537661156e-27 newton,0.0 newton,-2.875622671050235e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton
36,816 nanometer,(2.1505517119274377e-31+3.3539456285954058e-31j) coulomb * meter,0j coulomb * meter,(-2.3567749919440767e-32+4.6298528242098894e-32j) coulomb * meter,0j ampere * meter ** 2,(-4.4642395025287856e-24-2.146711111043993e-23j) ampere * meter ** 2,0j ampere * meter ** 2,7.138521084948513e-25 newton,8.089335700608602e-25 newton,-1.0793279933270136e-25 newton,-9.626890315363797e-27 newton,6.673924528995152e-26 newton,0.0 newton,-1.3042991239180507e-26 newton,-3.121802596871476e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,-0.0 newton,-0.0 newton,-1.1314592419404536e-24 newton,-5.169850363898831e-25 newton,-5.679806955166236e-25 newton,-1.5236333518508756e-25 newton,-1.9821228901836246e-25 newton,7.965110735306257e-27 newton,9.468957930072975e-27 newton,2.8664804550412404e-25 newton,-8.770594037868027e-26 newton,-4.923956650745338e-26 newton,-7.803972646251648e-27 newton,0.0 newton,-3.0662401224975335e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton
37,822 nanometer,(2.4807589707737586e-31+3.530058705779589e-31j) coulomb * meter,0j coulomb * meter,(-2.242798585315546e-32+5.050450701759783e-32j) coulomb * meter,0j ampere * meter ** 2,(-6.959127009890246e-24-2.1204926743068112e-23j) ampere * meter ** 2,0j ampere * meter ** 2,7.925055575232503e-25 newton,9.007676320545205e-25 newton,-1.1992287070528402e-25 newton,-9.320106508468115e-27 newton,6.578158723079389e-26 newton,0.0 newton,-1.359104556615085e-26 newton,-3.120963898216127e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,-0.0 newton,-0.0 newton,-1.2507719435577598e-24 newton,-5.572585252327278e-25 newton,-6.416752470512099e-25 newton,-1.4993828303830373e-25 newton,-2.471365281706193e-25 newton,7.606337878873413e-27 newton,2.3377789298564316e-26 newton,3.1425251275766325e-25 newton,-9.243932732529918e-26 newton,-5.408694731189217e-26 newton,-5.9958596697300164e-27 newton,0.0 newton,-3.235652034367701e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton
38,828 nanometer,(2.8358682106439335e-31+3.6924465288918315e-31j) coulomb * meter,0j coulomb * meter,(-2.1150397156529504e-32+5.449389932664121e-32j) coulomb * meter,0j ampere * meter ** 2,(-9.593244129955281e-24-2.0581110523507488e-23j) ampere * meter ** 2,0j ampere * meter ** 2,8.742993620727384e-25 newton,9.964226524282884e-25 newton,-1.3245601271796547e-25 newton,-8.65045820039286e-27 newton,6.335672179072279e-26 newton,0.0 newton,-1.3933527989083805e-26 newton,-3.044001323883064e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,-0.0 newton,-0.0 newton,-1.3638610428546605e-24 newton,-5.944861237156966e-25 newton,-7.201473481140849e-25 newton,-1.431023914475576e-25 newton,-2.9640047752742863e-25 newton,7.244388638129882e-27 newton,4.1069939328361467e-26 newton,3.4196096998361614e-25 newton,-9.637642804053095e-26 newton,-5.906815254109625e-26 newton,-3.4883165206049794e-27 newton,0.0 newton,-3.38199589788296e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton
39,834 nanometer,(3.2178948519047494e-31+3.8392793911563856e-31j) coulomb * meter,0j coulomb * meter,(-1.9775184179464556e-32+5.829997358285487e-32j) coulomb * meter,0j ampere * meter ** 2,(-1.2355870366513925e-23-1.9554568312371497e-23j) ampere * meter ** 2,0j ampere * meter ** 2,9.593243299676975e-25 newton,1.096171424201367e-24 newton,-1.456685599354923e-25 newton,-7.571460441517959e-27 newton,5.926960045447892e-26 newton,0.0 newton,-1.404213425397873e-26 newton,-2.883454005715954e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,-0.0 newton,-0.0 newton,-1.468723560758206e-24 newton,-6.280082605093974e-25 newton,-8.038540791416361e-25 newton,-1.3109063275626111e-25 newton,-3.455980174856427e-25 newton,6.901472865963966e-27 newton,6.324226653043353e-26 newton,3.6968368973833362e-25 newton,-9.948449822296834e-26 newton,-6.42397096866374e-26 newton,-2.2315938141387962e-28 newton,0.0 newton,-3.502162915491731e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton
40,840 nanometer,(3.6290939255480516e-31+3.967959760510255e-31j) coulomb * meter,0j coulomb * meter,(-1.8332529595903116e-32+6.194882130922845e-32j) coulomb * meter,0j ampere * meter ** 2,(-1.5233078153708572e-23-1.807306137663641e-23j) ampere * meter ** 2,0j ampere * meter ** 2,1.0477273552840105e-24 newton,1.200340767270027e-24 newton,-1.5969883098567452e-25 newton,-6.025831772795882e-27 newton,5.327552458043994e-26 newton,0.0 newton,-1.3876193205556433e-26 newton,-2.6288080602429445e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,-0.0 newton,-0.0 newton,-1.562888077804545e-24 newton,-6.569070578986485e-25 newton,-8.934100793953911e-25 newton,-1.1296372765559484e-25 newton,-3.942449826130191e-25 newton,6.600265869145909e-27 newton,9.076368562641268e-26 newton,3.9727381826255e-25 newton,-1.0169872108896814e-25 newton,-6.96560405504568e-26 newton,3.86755038660599e-27 newton,0.0 newton,-3.591023092511719e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton
41,846 nanometer,(4.065704762447023e-31+4.075338027537849e-31j) coulomb * meter,0j coulomb * meter,(-1.688727002425032e-32+6.54499941700546e-32j) coulomb * meter,0j ampere * meter ** 2,(-1.8148862064146547e-23-1.6108359243140012e-23j) ampere * meter ** 2,0j ampere * meter ** 2,1.1382511855239422e-24 newton,1.3076552679767587e-24 newton,-1.74538576912539e-25 newton,-3.980998473714835e-27 newton,4.5251647455101445e-26 newton,0.0 newton,-1.339946869959236e-26 newton,-2.2736685822071477e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,-0.0 newton,-0.0 newton,-1.6428153726995131e-24 newton,-6.802709368409882e-25 newton,-9.88126969495555e-25 newton,-8.798633715178839e-26 newton,-4.407180341980046e-25 newton,6.355195421913269e-27 newton,1.2398718208910797e-25 newton,4.23944527475802e-25 newton,-1.0294062001829798e-25 newton,-7.53060050786237e-26 newton,8.777094221186891e-27 newton,0.0 newton,-3.6411709160861e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton
42,852 nanometer,(4.536071392205554e-31+4.1573536041875065e-31j) coulomb * meter,0j coulomb * meter,(-1.540572982898328e-32+6.884704589454468e-32j) coulomb * meter,0j ampere * meter ** 2,(-2.112602705175893e-23-1.3567068817679143e-23j) ampere * meter ** 2,0j ampere * meter ** 2,1.2324030537510723e-24 newton,1.4199561710186243e-24 newton,-1.9045541839568126e-25 newton,-1.3432124388712803e-27 newton,3.477052442594142e-26 newton,0.0 newton,-1.2536886315601744e-26 newton,-1.7988124543339147e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,-0.0 newton,-0.0 newton,-1.7057711229517992e-24 newton,-6.967648523295703e-25 newton,-1.0899897678650385e-24 newton,-5.460998723617269e-26 newton,-4.85184813373187e-25 newton,6.197027021193583e-27 newton,1.646281543327837e-25 newton,4.499531164981923e-25 newton,-1.0309581338932826e-25 newton,-8.129672938835942e-26 newton,1.463624455963271e-26 newton,0.0 newton,-3.6435328560601605e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton
43,858 nanometer,(5.042603877064559e-31+4.208046206223989e-31j) coulomb * meter,0j coulomb * meter,(-1.389541032467256e-32+7.215736447433108e-32j) coulomb * meter,0j ampere * meter ** 2,(-2.4116937832714142e-23-1.0363877207036308e-23j) ampere * meter ** 2,0j ampere * meter ** 2,1.3302014007585433e-24 newton,1.5374029149119603e-24 newton,-2.0757221486745983e-25 newton,1.9678346635313974e-27 newton,2.1467605370209468e-26 newton,0.0 newton,-1.1203765197692986e-26 newton,-1.1860974122004954e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,-0.0 newton,-0.0 newton,-1.7470079741295573e-24 newton,-7.0471635653374935e-25 newton,-1.1996972840064489e-24 newton,-1.123494262130488e-26 newton,-5.264420066995749e-25 newton,6.1503362581257215e-27 newton,2.140975481856684e-25 newton,4.748347312877264e-25 newton,-1.0200051050222341e-25 newton,-8.766972002443008e-26 newton,2.1514846206605737e-26 newton,0.0 newton,-3.5845636684399166e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton
44,864 nanometer,(5.582675977966444e-31+4.221048200655095e-31j) coulomb * meter,0j coulomb * meter,(-1.2387910238085025e-32+7.53904341742711e-32j) coulomb * meter,0j ampere * meter ** 2,(-2.7016990757866066e-23-6.4422585252282624e-24j) ampere * meter ** 2,0j ampere * meter ** 2,1.4305688418416593e-24 newton,1.658867939006331e-24 newton,-2.2587912820371225e-25 newton,6.000708336377418e-27 newton,5.1157735023803136e-27 newton,0.0 newton,-9.316157290417578e-27 newton,-4.220293509299225e-27 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,-0.0 newton,-0.0 newton,-1.7610166633507072e-24 newton,-7.024504995386693e-25 newton,-1.3168238351534833e-24 newton,4.349570149644164e-26 newton,-5.623332651024192e-25 newton,6.229471101581247e-27 newton,2.7331979758691645e-25 newton,4.975459662589252e-25 newton,-9.949283899748505e-26 newton,-9.440934111329922e-26 newton,2.939513782517e-26 newton,0.0 newton,-3.4478635709355746e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton
45,870 nanometer,(6.159386243029973e-31+4.187433091431365e-31j) coulomb * meter,0j coulomb * meter,(-1.0869613720733616e-32+7.856496983942594e-32j) coulomb * meter,0j ampere * meter ** 2,(-2.9749177550746294e-23-1.6938829996839184e-24j) ampere * meter ** 2,0j ampere * meter ** 2,1.5336109548603323e-24 newton,1.7845714644284553e-24 newton,-2.455006829703866e-25 newton,1.0845188394558952e-26 newton,-1.473171587536055e-26 newton,0.0 newton,-6.746270537575216e-27 newton,5.172971420640169e-27 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,-0.0 newton,-0.0 newton,-1.7410875412986957e-24 newton,-6.875579510681323e-25 newton,-1.4422983213150573e-24 newton,1.1175372407524374e-25 newton,-5.911299552579452e-25 newton,6.460194146047776e-27 newton,3.442585072457703e-25 newton,5.174262608753773e-25 newton,-9.534462206307796e-26 newton,-1.0155623558829773e-25 newton,3.833048656273029e-26 newton,0.0 newton,-3.211887303751058e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton
46,876 nanometer,(6.781840812383115e-31+4.091673980319054e-31j) coulomb * meter,0j coulomb * meter,(-9.287296177474603e-33+8.169600210493624e-32j) coulomb * meter,0j ampere * meter ** 2,(-3.2234769788398335e-23+4.095015560297956e-24j) ampere * meter ** 2,0j ampere * meter ** 2,1.6403973316539794e-24 newton,1.91588316131396e-24 newton,-2.66707209595653e-25 newton,1.667123569975837e-26 newton,-3.894136964920926e-26 newton,0.0 newton,-3.2747819512662786e-27 newton,1.6766295836389475e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,-0.0 newton,-0.0 newton,-1.6763148658955704e-24 newton,-6.559053090810005e-25 newton,-1.5784670095777692e-24 newton,1.974003194482072e-25 newton,-6.107393546615805e-25 newton,6.889693591723718e-27 newton,4.30627204616619e-25 newton,5.3387958976823025e-25 newton,-8.91403569345209e-26 newton,-1.09209152008238e-25 newton,4.848723705169754e-26 newton,0.0 newton,-2.841844197798049e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton
47,882 nanometer,(7.437941330890649e-31+3.9232531148972613e-31j) coulomb * meter,0j coulomb * meter,(-7.69428337919231e-33+8.47846858269302e-32j) coulomb * meter,0j ampere * meter ** 2,(-3.421963668273266e-23+1.093875742770478e-23j) ampere * meter ** 2,0j ampere * meter ** 2,1.747821598296735e-24 newton,2.049216403422123e-24 newton,-2.8921934497656416e-25 newton,2.3454818133691722e-26 newton,-6.750550307631635e-26 newton,0.0 newton,1.2302274063819953e-27 newton,3.0644997387418826e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,-0.0 newton,-0.0 newton,-1.5574511737620203e-24 newton,-6.049670871998679e-25 newton,-1.722955773581296e-24 newton,3.0189525998703735e-25 newton,-6.1657559427867245e-25 newton,7.512499285396697e-27 newton,5.3304039298889e-25 newton,5.445991290364923e-25 newton,-8.067723661450137e-26 newton,-1.1724010935613558e-25 newton,5.962609727365549e-26 newton,0.0 newton,-2.3063224532021278e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton
48,888 nanometer,(8.118822061808135e-31+3.6688085514641164e-31j) coulomb * meter,0j coulomb * meter,(-6.1005188196837665e-33+8.783921129559665e-32j) coulomb * meter,0j ampere * meter ** 2,(-3.545032909500828e-23+1.8876635509059783e-23j) ampere * meter ** 2,0j ampere * meter ** 2,1.853541088004272e-24 newton,2.1817829831127633e-24 newton,-3.1280302708977525e-25 newton,3.117417940590573e-26 newton,-1.005047495325096e-25 newton,0.0 newton,6.943025977451977e-27 newton,4.694867613043615e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,-0.0 newton,-0.0 newton,-1.373953153074171e-24 newton,-5.314772634497232e-25 newton,-1.8741366543704978e-24 newton,4.272291092798772e-25 newton,-6.041570211980034e-25 newton,8.323463029391369e-27 newton,6.528233027669229e-25 newton,5.474419108678615e-25 newton,-6.971304538691942e-26 newton,-1.2554444835983012e-25 newton,7.15028976862215e-26 newton,0.0 newton,-1.56714947133108e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton
49,894 nanometer,(8.81682540850452e-31+3.308436810092062e-31j) coulomb * meter,0j coulomb * meter,(-4.4727701560833375e-33+9.085346330252425e-32j) coulomb * meter,0j ampere * meter ** 2,(-3.5631876517691964e-23+2.799866003876504e-23j) ampere * meter ** 2,0j ampere * meter ** 2,1.9553372630933727e-24 newton,2.3108895221478255e-24 newton,-3.372172971126762e-25 newton,3.981198983795561e-26 newton,-1.3816729748364758e-25 newton,0.0 newton,1.4112253691636226e-26 newton,6.59080920122787e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,-0.0 newton,-0.0 newton,-1.111508978254002e-24 newton,-4.306064495057493e-25 newton,-2.030962224296199e-24 newton,5.763816268743097e-25 newton,-5.681730809216233e-25 newton,9.330030089903854e-27 newton,7.923915702785061e-25 newton,5.401295492268498e-25 newton,-5.595625505358903e-26 newton,-1.3408372426500914e-25 newton,8.384621693380402e-26 newton,0.0 newton,-5.718747722384262e-27 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton
50,900 nanometer,(9.511984152427565e-31+2.8247895855219673e-31j) coulomb * meter,0j coulomb * meter,(-2.8052344353996832e-33+9.381654653533841e-32j) coulomb * meter,0j ampere * meter ** 2,(-3.4369334266928243e-23+3.825242130976326e-23j) ampere * meter ** 2,0j ampere * meter ** 2,2.048836318370495e-24 newton,2.4311475432062588e-24 newton,-3.6184915397407944e-25 newton,4.918469586429699e-26 newton,-1.8005814610346577e-25 newton,0.0 newton,2.2932944940584693e-26 newton,8.747843443689986e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,-0.0 newton,-0.0 newton,-7.576032328851367e-25 newton,-2.985094965435962e-25 newton,-2.1896018848969227e-24 newton,7.5050663822781365e-25 newton,-5.021558489983556e-25 newton,1.0499671173842232e-26 newton,9.521090206805098e-25 newton,5.195486674715723e-25 newton,-3.93059303745067e-26 newton,-1.4269403008069775e-25 newton,9.607966898857724e-26 newton,0.0 newton,7.30843071761379e-27 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton
51,906 nanometer,(1.0179933162696492e-30+2.2020767001127517e-31j) coulomb * meter,0j coulomb * meter,(-1.106878475874032e-33+9.675636242095921e-32j) coulomb * meter,0j ampere * meter ** 2,(-3.1198583266003883e-23+4.9523200037308475e-23j) ampere * meter ** 2,0j ampere * meter ** 2,2.1292805808506225e-24 newton,2.53648386291641e-24 newton,-3.859331206813944e-25 newton,5.903404527708583e-26 newton,-2.254848415992388e-25 newton,0.0 newton,3.361946967917592e-26 newton,1.1156116525858367e-25 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,-0.0 newton,-0.0 newton,-2.989127978753633e-25 newton,-1.3174753332991118e-25 newton,-2.3447616632800153e-24 newton,9.506923095524467e-25 newton,-3.989860566002133e-25 newton,1.1764791154770529e-26 newton,1.1320586042755482e-24 newton,4.8206675035201115e-25 newton,-1.9504250702325654e-26 newton,-1.509574354666377e-25 newton,1.0748289025880632e-25 newton,0.0 newton,2.397029450550555e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton
52,912 nanometer,(1.0785556265827e-30+1.4303980085151476e-31j) coulomb * meter,0j coulomb * meter,(6.2480851587656555e-34+9.967694945314924e-32j) coulomb * meter,0j ampere * meter ** 2,(-2.5627980793235153e-23+6.150374713479563e-23j) ampere * meter ** 2,0j ampere * meter ** 2,2.1904529279344695e-24 newton,2.6188536110872224e-24 newton,-4.083314216243359e-25 newton,6.887855489323689e-26 newton,-2.728793086383748e-25 newton,0.0 newton,4.627394001488625e-26 newton,1.376575522018348e-25 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,-0.0 newton,-0.0 newton,2.7270228715833154e-25 newton,7.131419367106884e-26 newton,-2.4891234739667962e-24 newton,1.1752802871306805e-24 newton,-2.5193748705352533e-25 newton,1.301899920051323e-26 newton,1.3299150657715646e-24 newton,4.24234702404826e-25 newton,3.265836927652431e-27 newton,-1.5844213313174038e-25 newton,1.1699388699107488e-25 newton,0.0 newton,4.471408306831827e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton
53,918 nanometer,(1.128469329279001e-30+5.098343108679143e-32j) coulomb * meter,0j coulomb * meter,(2.3921605607860206e-33+1.0257978339279603e-31j) coulomb * meter,0j ampere * meter ** 2,(-1.7183175653197664e-23+7.36748184917295e-23j) ampere * meter ** 2,0j ampere * meter ** 2,2.2252958706181385e-24 newton,2.668907967907155e-24 newton,-4.275619550468409e-25 newton,7.801046762872818e-26 newton,-3.1974935351436477e-25 newton,0.0 newton,6.084953994782015e-26 newton,1.648392036956407e-25 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,-0.0 newton,-0.0 newton,9.575508560495303e-25 newton,3.095094652597741e-25 newton,-2.613017424534807e-24 newton,1.4193417215586167e-24 newton,-5.558578530045985e-26 newton,1.4101842357234544e-26 newton,1.5403290827924333e-24 newton,3.4287195391673865e-25 newton,2.84442742436081e-26 newton,-1.645972630236159e-25 newton,1.2325258410443966e-25 newton,0.0 newton,6.978895316278394e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton
54,924 nanometer,(1.1627912656712844e-30-5.343471994613248e-32j) coulomb * meter,0j coulomb * meter,(4.1757532602756346e-33+1.0547150641978215e-31j) coulomb * meter,0j ampere * meter ** 2,(-5.62753717992785e-24+8.518711534723928e-23j) ampere * meter ** 2,0j ampere * meter ** 2,2.2272054489477305e-24 newton,2.6775712203355468e-24 newton,-4.4192305293402715e-25 newton,8.545945631498604e-26 newton,-3.623129917370323e-25 newton,0.0 newton,7.693993385546458e-26 newton,1.9147088311279286e-25 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,-0.0 newton,-0.0 newton,1.7364070780351032e-24 newton,5.75246535377061e-25 newton,-2.7050719628085068e-24 newton,1.671778586201627e-24 newton,1.8991518296219632e-25 newton,1.4771212642243855e-26 newton,1.7526946536646607e-24 newton,2.3707286999582105e-25 newton,5.472624970654516e-26 newton,-1.6880496648095761e-25 newton,1.247106926791969e-25 newton,0.0 newton,9.882052350830628e-26 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton
55,930 nanometer,(1.1771632088664411e-30-1.6701045495555902e-31j) coulomb * meter,0j coulomb * meter,(5.989643693324009e-33+1.083511752400204e-31j) coulomb * meter,0j ampere * meter ** 2,(9.130936670499609e-24+9.517347400218079e-23j) ampere * meter ** 2,0j ampere * meter ** 2,2.1913054806069223e-24 newton,2.6377058256267267e-24 newton,-4.498265092585623e-25 newton,9.023993601869866e-26 newton,-3.967060581750809e-25 newton,0.0 newton,9.405131217891362e-26 newton,2.158409742162267e-25 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,-0.0 newton,-0.0 newton,2.584464708145304e-24 newton,8.59168284118515e-25 newton,-2.75493134456609e-24 newton,1.9205453420903026e-24 newton,4.818457821338174e-25 newton,1.4799429999450442e-26 newton,1.9558883679508107e-24 newton,1.0714884641849788e-25 newton,8.068062318505431e-26 newton,-1.7050890311649176e-25 newton,1.1993967670443776e-25 newton,0.0 newton,1.3124984959710849e-25 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton
56,936 nanometer,(1.1673927600286579e-30-2.8613448797232634e-31j) coulomb * meter,0j coulomb * meter,(7.87793413190621e-33+1.112049882793103e-31j) coulomb * meter,0j ampere * meter ** 2,(2.7156740322720764e-23+1.027361798354973e-22j) ampere * meter ** 2,0j ampere * meter ** 2,2.1135537581983658e-24 newton,2.5429634035163916e-24 newton,-4.49684356226132e-25 newton,9.131394312042782e-26 newton,-4.188514909372887e-25 newton,0.0 newton,1.1164453233639514e-25 newton,2.361677263885721e-25 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,-0.0 newton,-0.0 newton,3.474053295142896e-24 newton,1.1506307510995563e-24 newton,-2.7522314194480242e-24 newton,2.1531467409978805e-24 newton,8.170659632777675e-25 newton,1.399493341516541e-26 newton,2.138243092887303e-24 newton,-4.679676708675245e-26 newton,1.0480417129167607e-25 newton,-1.6916901952805215e-25 newton,1.0750120719913143e-25 newton,0.0 newton,1.6647198362059697e-25 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton,0.0 newton
