% Model:              3D-Au-Plate.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jul 2 2025, 20:31
% Dimension:          1
% Nodes:              61
% Expressions:        6
% Description:        Table graph
% lambda0 (nm),real(px) (C*m),imag(px) (C*m),real(my) (m^2*A),imag(my) (m^2*A),real(pz) (C*m),imag(pz) (C*m)
994.9999999999999,4.733509003887537E-31,6.5285728630819776E-31,1.7405009083220356E-22,-7.355624975989125E-24,-3.846940401137381E-32,-1.7567807834745036E-31
1000,4.280395062410093E-31,6.171848976147293E-31,1.7485338132534942E-22,7.414664042867176E-24,-3.6340749323325834E-32,-1.7900495830307237E-31
1005,3.912891023628456E-31,5.787554889700863E-31,1.7441126070083776E-22,2.1719668372248173E-23,-3.412193519439242E-32,-1.823097070828378E-31
1010,3.6294018957321296E-31,5.39754713982952E-31,1.7293969998423987E-22,3.529161463871251E-23,-3.1855219819359646E-32,-1.855894275611308E-31
1014.9999999999999,3.4225124159936383E-31,5.020317051434253E-31,1.706929321138395E-22,4.7925813596476E-23,-2.958401964603129E-32,-1.8884233060321353E-31
1019.9999999999999,3.279583700362362E-31,4.653992360935045E-31,1.6774080033914236E-22,5.993361063831646E-23,-2.726535661435588E-32,-1.9207104381282045E-31
1025,3.1932818397369805E-31,4.303650367275714E-31,1.6416420093373777E-22,7.136235721569267E-23,-2.4899325447659817E-32,-1.9527532555901279E-31
1030,3.156883203768849E-31,3.973080189614571E-31,1.6002285426959186E-22,8.225651128474837E-23,-2.2485150310288788E-32,-1.984550649937685E-31
1035,3.1645696908154736E-31,3.6651698588248884E-31,1.5535079196346244E-22,9.264847495218402E-23,-2.0022716328832962E-32,-2.0160870626244217E-31
1039.9999999999998,3.210910521858858E-31,3.3821272810898063E-31,1.501740327762656E-22,1.0256449067134602E-22,-1.751170753321378E-32,-2.0473631431182146E-31
1045,3.2911465296332163E-31,3.1257697709084613E-31,1.4450353400000902E-22,1.1201559895650933E-22,-1.4951888072874938E-32,-2.078367422351481E-31
1050,3.4007731476787488E-31,2.8975440851123746E-31,1.3834805819258699E-22,1.210046334227331E-22,-1.2342908636624006E-32,-2.109095638654881E-31
1055,3.5356437852721457E-31,2.69872288248664E-31,1.3171110456938074E-22,1.2951998125479366E-22,-9.684594051484235E-33,-2.1395354540534826E-31
1060,3.6916960963656594E-31,2.530301211904983E-31,1.245997354716503E-22,1.3754307314490704E-22,-6.976557739867282E-33,-2.169681704458943E-31
1064.9999999999998,3.8650365515210384E-31,2.393190163182039E-31,1.170214236200559E-22,1.4504078621866766E-22,-4.218632120640893E-33,-2.199516029048073E-31
1070,4.05169049377355E-31,2.287889533284146E-31,1.08994036199305E-22,1.5198031433225865E-22,-1.4104740300724745E-33,-2.2290348600166524E-31
1075,4.247757543499863E-31,2.214767587469313E-31,1.0054031785191399E-22,1.583172221626632E-22,1.4480495577335133E-33,-2.2582227826949398E-31
1080,4.449292313274833E-31,2.1737505036891097E-31,9.16944827582948E-23,1.6400944344892076E-22,4.3574105408395024E-33,-2.287072313835226E-31
1084.9999999999998,4.646940076982995E-31,2.163747320908015E-31,8.276250541775556E-23,1.6898241030067985E-22,7.27170928535264E-33,-2.315713563054945E-31
1090,4.842712980458009E-31,2.1832182199894135E-31,7.353706666604896E-23,1.7326678307934933E-22,1.0241057871752134E-32,-2.3439958303594343E-31
1095,5.038028738545736E-31,2.2331432091922235E-31,6.380933759802556E-23,1.768115560811732E-22,1.3313924437408607E-32,-2.3717283408314564E-31
1100,5.223860538980754E-31,2.3111383174667263E-31,5.392040068740135E-23,1.795580422938679E-22,1.643828323730241E-32,-2.3990617268808394E-31
