% Model:              2D-Free-Space.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 10 2025, 01:30
% Dimension:          1
% Nodes:              211
% Expressions:        5
% Description:        Table graph
% R0 (nm),C_ED (m^2),C_MD (m^2),C_EQ (m^2),C_MQ (m^2),C (m^2)
177.99999999999997,1.4683504419834928E-13,9.829443410238523E-14,1.0242089200990695E-13,2.4738032784463913E-14,3.722884030951054E-13
180,1.478644804475805E-13,9.812095621139005E-14,1.1719322502700656E-13,7.437342758791155E-14,4.375520892738887E-13
182,1.4199460480110348E-13,9.806914302767805E-14,1.3359893894640237E-13,1.9463437902900252E-13,5.682970658041864E-13
183.99999999999997,1.2574300777287272E-13,9.790610340013034E-14,1.5148582064933672E-13,3.2272933494834077E-13,6.978642667706805E-13
186,9.887220586510146E-14,9.758648161297476E-14,1.7096464031837902E-13,3.026871953080269E-13,6.701105231044822E-13
188,6.735640157459819E-14,9.735154503461198E-14,1.9262861622500646E-13,2.3381639537214323E-13,5.911529582063598E-13
189.99999999999997,3.9506507335493195E-14,9.718884507218239E-14,2.1674400194416174E-13,1.83981221007441E-13,5.374205753592784E-13
192,1.99136581406064E-14,9.701831968909555E-14,2.4344399782428245E-13,1.5271743624910764E-13,5.13093411903092E-13
194,8.398112264530521E-15,9.675287657033864E-14,2.7277438816116416E-13,1.3283947556834918E-13,5.107648525643825E-13
195.99999999999997,2.685139182579965E-15,9.639134076551274E-14,3.048693599221878E-13,1.1967641316608507E-13,5.236222530363656E-13
197.99999999999997,5.346883179328031E-16,9.579760918044056E-14,3.393656603514283E-13,1.1076258986393968E-13,5.464605477137413E-13
200,3.630217715244753E-16,9.492294018665849E-14,3.7566000391411747E-13,1.0454383202580421E-13,5.754897978981047E-13
201.99999999999997,1.207410229102323E-15,9.36812222919036E-14,4.122516890329414E-13,1.0016012680373072E-13,6.073004483576781E-13
203.99999999999997,2.519936831723505E-15,9.195864455464882E-14,4.462249161051705E-13,9.706922847867418E-14,6.37772725970217E-13
206,3.999749757383712E-15,8.962171868177383E-14,4.724998132056804E-13,9.490841555070284E-14,6.610296971955408E-13
207.99999999999997,5.48913801842391E-15,8.648106458950713E-14,4.832613123876977E-13,9.344163998541924E-14,6.686731549810479E-13
209.99999999999997,6.9111704554839636E-15,8.228112784515258E-14,4.689805614233121E-13,9.24986038820312E-14,6.506714636059798E-13
212,8.232706197774657E-15,7.666221414523431E-14,4.225528803702703E-13,9.196534654478604E-14,5.994131472580653E-13
213.99999999999997,9.448158121460034E-15,6.90758702721965E-14,3.456201233629097E-13,9.175494456079145E-14,5.158990963173577E-13
215.99999999999997,1.0542628719137453E-14,5.880836896659155E-14,2.519527325750918E-13,9.180622546981935E-14,4.1310995573064015E-13
218,1.1523659119333948E-14,4.5366598639825163E-14,1.6219460263538569E-13,9.157329880923084E-14,3.1065815920377564E-13
219.99999999999997,1.2433463261014513E-14,2.907935997883058E-14,9.151041666020598E-14,9.137863108486926E-14,2.2440187098492034E-13
221.99999999999997,1.3277896393462424E-14,1.2356363153305727E-14,4.335632875983184E-14,9.132900052258153E-14,1.6031958882918153E-13
224,1.4069421678817047E-14,4.005889876980609E-15,1.5607906227943275E-14,9.126096865329764E-14,1.2494418643703857E-13
225.99999999999997,1.483357215326729E-14,1.695720275842009E-14,3.440480282560781E-15,9.107489481860236E-14,1.2630615001285052E-13
227.99999999999997,1.5601387382828108E-14,5.146774516172526E-14,2.062512753551556E-15,9.069965554855854E-14,1.5983130084666346E-13
230,1.6402319781073182E-14,8.980805264523048E-14,7.690445496135388E-15,9.00680618727015E-14,2.0396887979514056E-13
231.99999999999997,1.727128002048634E-14,1.187045183202116E-13,1.763123938615004E-14,8.909015808149501E-14,2.42697195808343E-13
233.99999999999997,1.8250267131509737E-14,1.3710605254183015E-13,3.012286518566113E-14,8.765144854284874E-14,2.7313063340184976E-13
236,1.93767617950238E-14,1.4812527773029414E-13,4.394224361239386E-14,8.564931022822163E-14,2.970935933659334E-13
237.99999999999997,2.0717332917752592E-14,1.5474969587706195E-13,5.840014524219595E-14,8.29229888187656E-14,3.167901628557761E-13
240,2.2353560986120494E-14,1.5883399743236368E-13,7.303162614711148E-14,7.929771233897146E-14,3.335168969045671E-13
242,2.4375690866143515E-14,1.6142799646028931E-13,8.757381376747615E-14,7.450641687276123E-14,3.478839179666702E-13
243.99999999999997,2.6858689853075885E-14,1.6307130546803574E-13,1.018090336880923E-13,6.811011417903326E-14,3.5984914318823717E-13
245.99999999999997,2.9952535119365054E-14,1.6406231033245422E-13,1.1562196482218364E-13,5.967207616321232E-14,3.693088864372152E-13
247.99999999999997,3.3961482510889836E-14,1.6457407634045343E-13,1.289577042808814E-13,4.891614327200519E-14,3.7640940640422987E-13
250,3.928707283797984E-14,1.6545523909181623E-13,1.424573438692745E-13,3.570908116647036E-14,3.8290873696554086E-13
252,4.636851363971528E-14,1.662260609004452E-13,1.5561775220510966E-13,2.1021210155793558E-14,3.892335369010637E-13
254,5.572235382139338E-14,1.664999714269083E-13,1.6814501603596442E-13,8.22552207421681E-15,3.985928633584829E-13
255.99999999999997,6.797472292480019E-14,1.666351890560823E-13,1.80400899989915E-13,8.48193161677733E-15,4.2349274358757484E-13
258,8.326961792878645E-14,1.6666427730860158E-13,1.9247039433524966E-13,4.8827918781324754E-14,4.912322083539624E-13
259.99999999999994,1.0033927645101672E-13,1.666413184626493E-13,2.0448844435350733E-13,1.5979732409212763E-13,6.312663633593009E-13
261.99999999999994,1.1515217809202464E-13,1.666398934004747E-13,2.1665999727451466E-13,3.0562567121194376E-13,8.040777399789578E-13
264,1.2160782503621385E-13,1.6671745689282608E-13,2.291510950210088E-13,3.9962656600794885E-13,9.171029429579975E-13
266,1.16444501961208E-13,1.6678225422219883E-13,2.419612932899909E-13,4.297248546809211E-13,9.549129041543188E-13
268,1.0279374452052384E-13,1.6675774077206192E-13,2.551694444063835E-13,4.2841864681064595E-13,9.531395765096152E-13
270,8.656938623416692E-14,1.666455681894271E-13,2.689283455554833E-13,4.1742524192122004E-13,9.395685419002973E-13
271.99999999999994,7.177491744148243E-14,1.6642673351910784E-13,2.834170163977502E-13,4.053201433663983E-13,9.269388107247387E-13
273.99999999999994,5.983592089351096E-14,1.6601782870353513E-13,2.986863522290359E-13,3.9479413665498204E-13,9.19334238481064E-13
276,5.058774421041502E-14,1.6526964535429053E-13,3.1464500991055393E-13,3.858960174002127E-13,9.163984168754723E-13
278,4.3538144766002515E-14,1.6466486062747224E-13,3.325009888988092E-13,3.7806986930382645E-13,9.187738635961104E-13
280,3.833835881176951E-14,1.6420896105769352E-13,3.5257447348134935E-13,3.7271539901316194E-13,9.278371923639745E-13
282,3.435766126048895E-14,1.6336257625946427E-13,3.737002221183964E-13,3.693676811547737E-13,9.407881407931234E-13
283.99999999999994,3.132982653951063E-14,1.6177227208374125E-13,3.9510714265172466E-13,3.6691950629102343E-13,9.55128747566E-13
285.99999999999994,2.9019443890566594E-14,1.5965361570137668E-13,4.1651251877361105E-13,3.651076850649295E-13,9.702932634304838E-13
288,2.723562661866296E-14,1.5663001846074613E-13,4.353017248251873E-13,3.6392117086990926E-13,9.830885407745057E-13
290,2.584502122452785E-14,1.5219172043519656E-13,4.471227397101283E-13,3.632110180711076E-13,9.883704994409602E-13
292,2.476325022331324E-14,1.4544287445547517E-13,4.449185108636842E-13,3.6288464014632043E-13,9.78009275688793E-13
294,2.3880015149763604E-14,1.3500753343591412E-13,4.2063920874732825E-13,3.6266357433648405E-13,9.4219033166949E-13
295.99999999999994,2.309766563518237E-14,1.1873611481427042E-13,3.695034070267687E-13,3.621253777825027E-13,8.734625652587241E-13
297.99999999999994,2.2416198186966715E-14,9.437981509589538E-14,2.9630465277503123E-13,3.61379592734366E-13,7.744802587922593E-13
300,2.183982189760055E-14,6.203930210304031E-14,2.1553973040411175E-13,3.606844752892846E-13,6.601033296940372E-13
302,2.1336989064521353E-14,2.901209618461392E-14,1.4283547807304834E-13,3.601197339307815E-13,5.53304297252965E-13
304,2.086703969116051E-14,8.993885194438736E-15,8.688850464491344E-14,3.595664369862892E-13,4.763158665168019E-13
306,2.0391575206567995E-14,8.441348216948375E-15,4.861075483481416E-14,3.5882375789931593E-13,4.3626743615764647E-13
307.99999999999994,1.9871649453791896E-14,2.060715842859127E-14,2.4688733844461918E-14,3.5753927123907955E-13,4.2270681296592463E-13
309.99999999999994,1.927200562018232E-14,3.638037605736162E-14,1.0989388440370483E-14,3.5558484182249777E-13,4.222266119404122E-13
312,1.854611085094138E-14,5.073874046918536E-14,4.0530700470528734E-15,3.5276259962961836E-13,4.26100520996798E-13
314,1.768472084417547E-14,6.238417713931753E-14,1.3717042885723657E-15,3.4852998356946797E-13,4.2997058584153334E-13
316,1.6631311083323034E-14,7.142338930115756E-14,1.2822738923642979E-15,3.426607807886857E-13,4.3199775506553057E-13
318,1.5344038975461395E-14,7.833332827410071E-14,2.724208686431565E-15,3.3468811903442405E-13,4.310896949704177E-13
319.99999999999994,1.3784172229894099E-14,8.357871684439204E-14,5.034966401683189E-15,3.239197829783078E-13,4.2631763845427713E-13
321.99999999999994,1.1920806406558212E-14,8.755497835779964E-14,7.803421621353816E-15,3.094759027289044E-13,4.1675510911461606E-13
324,9.74101903075784E-15,9.055795645538184E-14,1.07855931190143E-14,2.899388221014545E-13,4.0102339070660844E-13
326,7.284280465430167E-15,9.277334455347846E-14,1.3833733684711436E-14,2.633615981843995E-13,3.7725295688801957E-13
328,4.711762528542728E-15,9.439054879040248E-14,1.6885089811993672E-14,2.2705418816820625E-13,3.430415892991451E-13
330,2.4683010348780793E-15,9.561776492961377E-14,1.990844562146863E-14,1.7964710722337382E-13,2.976416188093343E-13
331.99999999999994,1.3939906339534753E-15,9.646173277044247E-14,2.2883775208509873E-14,1.2142694307815364E-13,2.4216644169105944E-13
333.99999999999994,3.1895049856209603E-15,9.695123145157663E-14,2.5810483998318528E-14,6.179783887352741E-14,1.8774905930904352E-13
336,1.0623992232059148E-14,9.715032562372334E-14,2.8723949474646075E-14,3.137126650634555E-14,1.6786953383677412E-13
338,2.6803078999311613E-14,9.713711191418943E-14,3.166893111310853E-14,7.14361821446619E-14,2.2704530417127144E-13
340,5.2306355114853105E-14,9.700297434712386E-14,3.4720420560681976E-14,1.782622342297246E-13,3.6229198425238355E-13
342,8.211108556438954E-14,9.686048693853073E-14,3.798443369399079E-14,2.9601968412445586E-13,5.129756903213669E-13
343.99999999999994,1.0803091641887042E-13,9.67971820234906E-14,4.1577852882210956E-14,3.860511744866949E-13,6.324571258112668E-13
345.99999999999994,1.253262136438286E-13,9.681010120266896E-14,4.560662401398683E-14,4.4505034790549686E-13,7.127932867659812E-13
348,1.3454813198410017E-13,9.69266266922233E-14,5.02370273370748E-14,4.820065098596929E-13,7.637182958730912E-13
350,1.382653906960701E-13,9.713328193805842E-14,5.5615502910659706E-14,5.049487147216203E-13,7.959628902664084E-13
352,1.3890288664361573E-13,9.746748768019726E-14,6.199210880323202E-14,5.193585989036621E-13,8.177210820307071E-13
354,1.380503066778505E-13,9.791691389029842E-14,6.967081406365638E-14,5.285928402673385E-13,8.342308748991438E-13
355.99999999999994,1.3663731015411805E-13,9.854856196193894E-14,7.910177120636333E-14,5.346559537867441E-13,8.489435971091644E-13
357.99999999999994,1.3516138714181893E-13,9.948748609069437E-14,9.094054718228563E-14,5.386751836061344E-13,8.642646040209334E-13
360,1.3400371889279908E-13,1.0093679541632109E-13,1.0612031817582965E-13,5.41459236612537E-13,8.825200690974869E-13
362,1.3337833141911686E-13,1.0289292811514225E-13,1.2556839597893446E-13,5.448915934604439E-13,9.067312489736375E-13
364,1.3260902995467441E-13,1.0517972149031263E-13,1.5032257500553453E-13,5.476637687953972E-13,9.357750952459186E-13
366,1.3189035050456077E-13,1.0808457491915194E-13,1.8209394858480597E-13,5.493101934230242E-13,9.713790674315429E-13
367.99999999999994,1.3131832514967772E-13,1.1152503405440164E-13,2.2156307750679147E-13,5.502544902300386E-13,1.0146609269409096E-12
369.99999999999994,1.3088583772703607E-13,1.1520209279894568E-13,2.6765966331275064E-13,5.507298123885444E-13,1.0644774062272768E-12
372,1.3055739131261833E-13,1.1816081144950376E-13,3.150385819453636E-13,5.508128806129857E-13,1.1145696653204714E-12
374,1.302468637875711E-13,1.1817584090491052E-13,3.52645865671855E-13,5.507854720139149E-13,1.1518540423782515E-12
376,1.2988156285853386E-13,1.1140244159770539E-13,3.677751149974911E-13,5.506394428678435E-13,1.1596985623215737E-12
378,1.294453522556752E-13,9.433940031629316E-14,3.555197053748683E-13,5.502516432841585E-13,1.1295561012309953E-12
379.99999999999994,1.2890307188895293E-13,6.863473005245592E-14,3.2287622859018204E-13,5.494802233745147E-13,1.0698942539061056E-12
381.99999999999994,1.282474517843784E-13,4.237824910203933E-14,2.8199704444584784E-13,5.483087132965012E-13,1.0009314586287668E-12
384,1.2742371860481052E-13,2.2683077252297848E-14,2.4210392313762693E-13,5.466311655278422E-13,9.388418845225775E-13
386,1.2641780537264948E-13,1.080157545345059E-14,2.0754946421271326E-13,5.44619881277086E-13,8.893887263158993E-13
388,1.255130886760827E-13,4.639424978817389E-15,1.7950553689134962E-13,5.42957841839946E-13,8.526158923861957E-13
390,1.2460379527927913E-13,1.8184467688083897E-15,1.571910175956182E-13,5.414497078261594E-13,8.250629674698651E-13
391.99999999999994,1.2324770583408034E-13,7.516759457216241E-16,1.395005182481135E-13,5.39207549221996E-13,8.027074492499114E-13
393.99999999999994,1.2114670183501096E-13,5.399835364811789E-16,1.252523382244963E-13,5.357907985538511E-13,7.827298221498396E-13
395.99999999999994,1.183803950972513E-13,7.09144041665399E-16,1.1407749612869025E-13,5.298899751741817E-13,7.630570104417886E-13
398,1.148587865233257E-13,1.016218054380598E-15,1.0524202014855855E-13,5.218115678515729E-13,7.429285925778378E-13
400,1.102712869779697E-13,1.34397490626786E-15,9.811638016286257E-14,5.105799902188962E-13,7.203116322659964E-13
402,1.0424681494340284E-13,1.6380060353560217E-15,9.231599398280313E-14,4.943964289895462E-13,6.925972439511082E-13
403.99999999999994,9.629303440427284E-14,1.8804576263340204E-15,8.748348200302215E-14,4.705383154520357E-13,6.561952894856647E-13
405.99999999999994,8.590534421398439E-14,2.060166166390499E-15,8.333115525071519E-14,4.345066415592548E-13,6.058033071903449E-13
407.99999999999994,7.264775917656376E-14,2.1817350052309997E-15,7.963611302520389E-14,3.799827736157649E-13,5.344483808227635E-13
410,5.6348190682591476E-14,2.256822481451769E-15,7.638985511357455E-14,3.009134265795324E-13,4.359082948571502E-13
412,3.787385350570287E-14,2.2981520947724895E-15,7.349558759282056E-14,1.996967478552455E-13,3.133643410485414E-13
414,2.053610505529393E-14,2.3148092171630546E-15,7.083277183250213E-14,1.0053489094439783E-13,1.9421857704935692E-13
415.99999999999994,1.0599475315515963E-14,2.3182705078018564E-15,6.826734309818954E-14,4.430923723377017E-14,1.2549432615527753E-13
417.99999999999994,1.401784390908986E-14,2.3163332094833463E-15,6.568396616761551E-14,4.810016039464698E-14,1.301183036808357E-13
419.99999999999994,3.0529371513259975E-14,2.316757688560647E-15,6.296702635692114E-14,9.027155845673288E-14,1.8608471401547465E-13
422,5.34848825249539E-14,2.325340526414684E-15,5.990828091902638E-14,1.4257192974448352E-13,2.582904337148785E-13
424,7.6046254018725E-14,2.361029812289136E-15,5.6478733003166176E-14,1.901484068783041E-13,3.250344237124844E-13
426,9.483521393772647E-14,2.4327867329960066E-15,5.2702471757126945E-14,2.2846752973194765E-13,3.7843800215979706E-13
427.99999999999994,1.0935359294277512E-13,2.5574467872825473E-15,4.839680633915279E-14,2.5812990953870046E-13,4.1843775560791094E-13
429.99999999999994,1.202027553327657E-13,2.7530776786312192E-15,4.344251022521125E-14,2.808424285772653E-13,4.472407718138735E-13
431.99999999999994,1.282360500658663E-13,3.048613729522849E-15,3.77871664052634E-14,2.981224228571836E-13,4.671942530578362E-13
434,1.3415811463642014E-13,3.4874675960128906E-15,3.143108731378645E-14,3.1117740706285375E-13,4.802540766090732E-13
436,1.3850635125377144E-13,4.131842080270504E-15,2.4494469059247113E-14,3.2100620580693446E-13,4.881388682002235E-13
438,1.4177918440496102E-13,5.080754558776158E-15,1.7362781218179863E-14,3.282502549891153E-13,4.924729751710323E-13
439.99999999999994,1.4460963028938092E-13,6.498973657546832E-15,1.0890704268102486E-14,3.335197823000247E-13,4.955190905150549E-13
441.99999999999994,1.4699247961274078E-13,8.672739806861929E-15,6.722806231221171E-15,3.373494674558366E-13,4.997374931066605E-13
443.99999999999994,1.4863010435578682E-13,1.1986875942885389E-14,7.962013573248435E-15,3.399001824428245E-13,5.084791763147451E-13
446,1.4965538818436208E-13,1.7088135612984225E-14,1.9697094149344998E-14,3.4136003450150046E-13,5.278006524481918E-13
448,1.5020777784399992E-13,2.490437709886824E-14,4.885661441724296E-14,3.419212199293612E-13,5.658899892894723E-13
450,1.5042617049366804E-13,3.649575864521312E-14,1.0144781150636212E-13,3.41788619347602E-13,6.301583599928453E-13
451.99999999999994,1.504842964508696E-13,5.232231981681428E-14,1.7625449198421335E-13,3.412904755285552E-13,7.203515837804525E-13
453.99999999999994,1.5053703399536846E-13,7.06438566857042E-14,2.602472459549657E-13,3.408086449793197E-13,8.222367816153581E-13
455.99999999999994,1.5062338220118543E-13,8.660014027179654E-14,3.3482203966611147E-13,3.404056522588823E-13,9.124512143979757E-13
458,1.5066265010351814E-13,9.5163345136975E-14,3.8804688387458674E-13,3.402358467238636E-13,9.741087258389433E-13
460,1.5065261953338991E-13,9.57283394195625E-14,4.193704959098287E-13,3.402895955687456E-13,1.0060410504315266E-12
462,1.5062755414801543E-13,9.136069261982927E-14,4.343912949698293E-13,3.4061318438269506E-13,1.0169927261203691E-12
463.99999999999994,1.5055002780487713E-13,8.53184866130022E-14,4.3936889485747664E-13,3.4116652107314095E-13,1.0164039303484968E-12
465.99999999999994,1.504780271284752E-13,7.941055808846842E-14,4.3894573602358977E-13,3.4218382340962213E-13,1.0110181446501555E-12
467.99999999999994,1.5045100004723364E-13,7.439479815183437E-14,4.361549435491886E-13,3.437638188734739E-13,1.0047645606217306E-12
470,1.5055934193456922E-13,7.041505062793583E-14,4.326744068879275E-13,3.4614011071408393E-13,9.997889101645164E-13
472,1.5070905744187755E-13,6.739277361466376E-14,4.2928806682528145E-13,3.495596522677786E-13,9.969495501496014E-13
474,1.5012818167469752E-13,6.508033202511499E-14,4.2570312500185437E-13,3.538627524474396E-13,9.947743911491066E-13
475.99999999999994,1.489726068001754E-13,6.332239831901977E-14,4.222219845414435E-13,3.5893222519728186E-13,9.934492148579205E-13
477.99999999999994,1.4749149803747898E-13,6.205251305376425E-14,4.1926291099345933E-13,3.6488114226045084E-13,9.936880643451535E-13
480,1.4538296618379507E-13,6.11707872822634E-14,4.168026221642022E-13,3.712959352127558E-13,9.946523108430166E-13
481.99999999999994,1.4203560293396172E-13,6.061053111928976E-14,4.1472562098183955E-13,3.7651670762382937E-13,9.938884626589203E-13
484,1.3656269808306802E-13,6.02571741604655E-14,4.1268127034911823E-13,3.773304359854663E-13,9.86831578578118E-13
485.99999999999994,1.2745525591362065E-13,6.002904274163918E-14,4.103360542110509E-13,3.6700706647785567E-13,9.648274193441665E-13
487.99999999999994,1.1291666847949833E-13,5.986688792437474E-14,4.076068438758576E-13,3.35527792239339E-13,9.159181925190696E-13
490,9.177491212225852E-14,5.972052884737765E-14,4.044687317514382E-13,2.754216048975842E-13,8.313857776186586E-13
491.99999999999994,6.522679995172104E-14,5.96170615302477E-14,4.012298190274818E-13,1.9380578534465858E-13,7.198794658541091E-13
494,3.8514535762692776E-14,5.952990077255345E-14,3.9789151796936047E-13,1.1447760743793863E-13,6.104135619425454E-13
495.99999999999994,1.8441468827103496E-14,5.946791996833197E-14,3.945488042660211E-13,5.73641671417199E-14,5.298223602031765E-13
498,8.261017920256505E-15,5.940132244744986E-14,3.9106815141467434E-13,2.5097106089152868E-14,4.838275978715336E-13
500,6.355715326172199E-15,5.924286142488497E-14,3.8692811688445546E-13,1.0378463506744527E-14,4.629051571422572E-13
